AssociationType	AssociationName	#of proteins	weighted_Sig	min_Sig	mean_Sig	median_Sig	std_Significance
Procedure	Total protein measurement	24	0.00022012240126541264	1.33e-06	0.007146415000000002	0.000659	0.011225975966833945
Procedure	Amino acid substitution	17	0.001221427938453523	9.49e-05	0.0048639352941176476	0.000717	0.014554004754582205
Procedure	Sequence alignment	19	0.0013588826556151755	3.9500000000000005e-05	0.03359402631578947	0.00132	0.08858836948114723
Procedure	Reverse transcriptase polymerase chain reaction	16	0.0013676006197472848	1.74e-06	0.08563407125	0.001495	0.25073818471923137
Procedure	Sequence analysis	17	0.001421774786286368	0.000157	0.00875364705882353	0.000859	0.015260113001436424
Procedure	Mutagenesis	22	0.0024584147586584246	4.85e-05	0.045855340909090894	0.0035199999999999997	0.15447426752723883
Procedure	Phylogenetic analysis	15	0.0027759214237050834	9.48e-05	0.022365919999999997	0.0015300000000000001	0.045926248981995765
Procedure	Transfection	20	0.0029625465569658852	2.0399999999999998e-05	0.04655248000000002	0.0047799999999999995	0.1700872612460134
Procedure	Immunoprecipitation	17	0.003253331600859017	2.3800000000000003e-05	0.011546929411764707	0.00346	0.02303885367112963
Procedure	Assay	18	0.003764645302612502	4.47e-05	0.09290631666666666	0.001845	0.23624901428822995
Procedure	Reverse genetics	17	0.0038098185881730562	0.000221	0.178209	0.0012	0.3804222430425558
Procedure	Biological assay	18	0.0041979670045227315	4.88e-05	0.0925806	0.002085	0.23482511523223215
Procedure	Cell culture techniques	21	0.004404275372367444	0.000154	0.04533895238095239	0.00599	0.1098533919148071
Procedure	Immunofluorescence assay	18	0.004557111425488271	3.9200000000000004e-05	0.13141845555555556	0.007635	0.3088550365402212
Procedure	Analysis	22	0.004641991247835018	0.000147	0.22306922727272738	0.002745	0.38822160761137114
Procedure	Polymerase chain reaction	16	0.0046709923824155035	1.47e-05	0.06922177499999999	0.0016450000000000002	0.24058075477156965
Procedure	Fluorescent antibody technique	18	0.005052985858341957	2.94e-05	0.09413666111111112	0.01097	0.2293128104471346
Procedure	Western blot	17	0.006202539589303332	5.429999999999999e-05	0.05336425294117647	0.008409999999999999	0.11435325304742995
Procedure	Viral plaque assay	13	0.006330399705647334	0.000362	0.06093023076923077	0.00183	0.192419730969787
Procedure	Serial passage	14	0.006699420512214438	0.0005679999999999999	0.08568728571428572	0.002255	0.2551114958653033
Disease	Severe Acute Respiratory Syndrome	20	0.00029130810642113194	1.31e-06	0.0797222305	8.420000000000001e-05	0.23557332863314165
Disease	Coronavirus Infections	19	0.000821833614699825	8.76e-07	0.14514419873684212	0.0025800000000000003	0.29962185829179483
Disease	Sprains and Strains	21	0.0009417751027810482	6.2e-05	0.060781952380952374	0.00135	0.09744925927177066
Disease	Infection	22	0.0011323688118605125	3.32e-05	0.11956709545454541	0.0019500000000000001	0.2721923069470829
Disease	Virus Diseases	19	0.0022594035405685935	7.74e-05	0.017485863157894736	0.0018	0.02772856283557691
Disease	Vaccinia	15	0.004188883707678331	3.4399999999999996e-05	0.09564122666666666	0.0024100000000000002	0.2598709993991621
Disease	Gastroenteritis	16	0.004894112924228645	4.2e-05	0.294313	0.0044399999999999995	0.41210031008466247
Disease	Hepatitis	17	0.005031542672231022	0.000145	0.023839352941176468	0.00543	0.05477844743299639
Disease	Porcine Reproductive and Respiratory Syndrome	10	0.007683007761677967	2.11e-06	0.007539471000000001	0.0003685	0.01399445243378136
Disease	Neoplasms	15	0.008222878458883639	1.4599999999999999e-05	0.012795466666666668	0.0033299999999999996	0.01752699580657095
Disease	Venezuelan equine encephalomyelitis	12	0.00988762147118603	3.24e-05	0.2620079416666667	0.00902	0.42547596948505106
Disease	Gastroenteritis, Transmissible, of Swine	11	0.01102218824802531	5.6200000000000004e-05	0.03567629090909091	0.0044	0.04887992205776881
Disease	Feline infectious peritonitis	9	0.012153564719547346	1.53e-05	0.03766676666666666	0.0025399999999999997	0.06418504013117075
Disease	Rotavirus Infections	12	0.012743091945754712	2.31e-06	0.3320912175	0.060649999999999996	0.4153749771822683
Disease	Alphavirus Infections	9	0.012935830752645533	1.95e-05	0.05203493333333333	0.0018399999999999998	0.10363441681979979
Disease	Vesicular Stomatitis	13	0.014284154946718145	1.95e-05	0.19020878461538468	0.00218	0.35426119153170427
Disease	Swine Diseases	14	0.015291605358684266	0.000149	0.20899257142857144	0.02825	0.29810942075321323
Disease	Viremia	11	0.016407917984452295	0.000109	0.007053363636363636	0.0042899999999999995	0.007340623211996095
Disease	Chromosomal translocation	17	0.02092336111401367	2.9199999999999998e-05	0.1008396	0.0173	0.23439315485010123
Disease	Bronchitis	15	0.024969326425206474	5.03e-05	0.22348781999999998	0.0991	0.27295981065861497
Chemical	Viral Proteins	23	0.0001893245400172436	1.04e-05	0.0549615	0.00018700000000000002	0.2046381160784803
Chemical	Protein	24	0.00019739493326725464	1.45e-06	0.004741734166666667	0.0007175	0.006441771067297743
Chemical	Viral Nonstructural Proteins	19	0.00028338754354652356	1.52e-06	0.05616584421052631	0.000333	0.22254932963224952
Chemical	RNA, Viral	22	0.00029450922205051636	7.6e-06	0.051566461818181815	0.0016049999999999999	0.12123528341463546
Chemical	Ribonucleic Acid	21	0.0005164604511678101	6.2e-06	0.01277521904761905	0.000517	0.025698838981086825
Chemical	Viral Envelope Proteins	16	0.0005260919617946105	5.03e-07	0.06684402518749999	0.001042	0.24124975397083828
Chemical	Amino Acid	22	0.000679967051017864	2.0600000000000003e-05	0.039512336363636366	0.0007865000000000001	0.06569921024012351
Chemical	Nucleotide	19	0.0008152852523391276	5.11e-05	0.003960526315789473	0.000843	0.005471106192183587
Chemical	Polyproteins	16	0.0008181819884239376	1.55e-05	0.00729105625	0.0004675	0.017096957921183258
Chemical	Viral Structural Proteins	19	0.0008788220827104179	4.55e-06	0.09886275	0.000822	0.2853615280198736
Chemical	RNA-Directed RNA Polymerase	17	0.001115334705476929	1.89e-05	0.03996848235294118	0.00103	0.11410161773154992
Chemical	Nucleocapsid	16	0.0013942372551874144	2.94e-07	0.093366193375	0.00181	0.2555819307984844
Chemical	Glycoprotein	17	0.001468614444306774	1.24e-06	0.08632787470588235	0.007790000000000001	0.23291321074553548
Chemical	cDNA	19	0.001688652951292525	2.3e-05	0.037851389473684216	0.0027300000000000002	0.08489606322277968
Chemical	Viral Core Proteins	12	0.0017044570804942369	2.13e-06	0.0011314775	0.0003635	0.0016946544264447398
Chemical	Viral Protein	17	0.001709003860262916	8.02e-05	0.1058757117647059	0.000606	0.2783576654281362
