Selection	Association Name	Association Type	Significance
3C-like proteinase, Coronavirus	Rebirthing	Procedure	0.00102
3C-like proteinase, Coronavirus	Sequence alignment	Procedure	0.00246
3C-like proteinase, Coronavirus	Mutagenesis	Procedure	0.0036
3C-like proteinase, Coronavirus	Analytical ultracentrifugation	Procedure	0.00553
3C-like proteinase, Coronavirus	Drug discovery	Procedure	0.00568
3C-like proteinase, Coronavirus	High throughput screening	Procedure	0.00636
3C-like proteinase, Coronavirus	Amino acid substitution	Procedure	0.00685
3C-like proteinase, Coronavirus	Protein sequence determination	Procedure	0.00765
3C-like proteinase, Coronavirus	5 minutes office visit	Procedure	0.00774
3C-like proteinase, Coronavirus	Homology modeling	Procedure	0.00845
3C-like proteinase, Coronavirus	Subcellular fractionation	Procedure	0.00954
3C-like proteinase, Coronavirus	X-ray crystallography	Procedure	0.00983
3C-like proteinase, Coronavirus	Crystallography	Procedure	0.0149
3C-like proteinase, Coronavirus	Immunoprecipitation	Procedure	0.0153
3C-like proteinase, Coronavirus	Total protein measurement	Procedure	0.0172
3C-like proteinase, Coronavirus	Immunofluorescence microscopy	Procedure	0.0184
3C-like proteinase, Coronavirus	Mutation analysis	Procedure	0.0194
3C-like proteinase, Coronavirus	Vaccine development	Procedure	0.0198
3C-like proteinase, Coronavirus	Antiviral therapy	Procedure	0.0209
3C-like proteinase, Coronavirus	Genetic techniques	Procedure	0.0262
3C-like proteinase, Coronavirus	Molecular modeling	Procedure	0.0294
3C-like proteinase, Coronavirus	DNA mutational analysis	Procedure	0.0306
3C-like proteinase, Coronavirus	Column chromatography	Procedure	0.0306
3C-like proteinase, Coronavirus	Fluorescence resonance energy transfer	Procedure	0.0359
3C-like proteinase, Coronavirus	Sequence analysis	Procedure	0.0362
3C-like proteinase, Coronavirus	Basic research	Procedure	0.045
3C-like proteinase, Coronavirus	Sedimentation procedure	Procedure	0.0458
3C-like proteinase, Coronavirus	Immunofluorescence assay	Procedure	0.0487
3C-like proteinase, Coronavirus	Therapeutic intervention	Procedure	0.0491
3C-like proteinase, Coronavirus	Precipitin tests	Procedure	0.0497
3C-like proteinase, Coronavirus	X-ray diffraction	Procedure	0.0545
3C-like proteinase, Coronavirus	Ultracentrifugation	Procedure	0.0571
3C-like proteinase, Coronavirus	Cisplatin/doxorubicin/mitomycin protocol	Procedure	0.0628
3C-like proteinase, Coronavirus	Adjuvant therapy	Procedure	0.0638
3C-like proteinase, Coronavirus	Assay	Procedure	0.0679
3C-like proteinase, Coronavirus	Cisplatin/cytarabine/etoposide protocol	Procedure	0.0681
3C-like proteinase, Coronavirus	Analysis	Procedure	0.0689
3C-like proteinase, Coronavirus	Mass screening	Procedure	0.0734
3C-like proteinase, Coronavirus	Determination aspects	Procedure	0.0781
3C-like proteinase, Coronavirus	Biological assay	Procedure	0.0782
3C-like proteinase, Coronavirus	High resolution	Procedure	0.0857
3C-like proteinase, Coronavirus	Sds-page	Procedure	0.0986
3C-like proteinase, Coronavirus	Radiotherapy fractionation	Procedure	0.106
3C-like proteinase, Coronavirus	Fluorescent antibody technique	Procedure	0.108
3C-like proteinase, Coronavirus	Screening for cancer	Procedure	0.122
3C-like proteinase, Coronavirus	Disease screening	Procedure	0.122
3C-like proteinase, Coronavirus	Chemical fractionation	Procedure	0.127
3C-like proteinase, Coronavirus	Dose fractionation	Procedure	0.127
3C-like proteinase, Coronavirus	Passage tissue culture technique	Procedure	0.128
3C-like proteinase, Coronavirus	General (procedure) toxicology screen	Procedure	0.16
3C-like proteinase, Coronavirus	Crystal present or absent (lab procedure)	Procedure	0.163
3C-like proteinase, Coronavirus	Cloning	Procedure	0.211
3C-like proteinase, Coronavirus	Release	Procedure	0.214
3C-like proteinase, Coronavirus	Dacarbazine/doxorubicin/ifosfamide protocol	Procedure	0.22
3C-like proteinase, Coronavirus	AID artificial insemination by donor	Procedure	0.221
3C-like proteinase, Coronavirus	Cytarabine/thioguanine	Procedure	0.255
3C-like proteinase, Coronavirus	Zinc measurement	Procedure	0.265
3C-like proteinase, Coronavirus	Therapeutic procedure	Procedure	0.354
3C-like proteinase, Coronavirus	High pressure liquid chromatography procedure	Procedure	0.354
3C-like proteinase, Coronavirus	Administration procedure	Procedure	0.359
3C-like proteinase, Coronavirus	Treatment study	Procedure	0.359
3C-like proteinase, Coronavirus	Cell hybridization	Procedure	0.378
3C-like proteinase, Coronavirus	Microbial sensitivity tests	Procedure	0.431
3C-like proteinase, Coronavirus	Western blot	Procedure	0.447
3C-like proteinase, Coronavirus	Lipids measurement	Procedure	0.448
3C-like proteinase, Coronavirus	Modeling	Procedure	0.508
3C-like proteinase, Coronavirus	Chromatography	Procedure	0.51
3C-like proteinase, Coronavirus	Chemical procedure	Procedure	0.519
3C-like proteinase, Coronavirus	Iron measurement	Procedure	0.566
3C-like proteinase, Coronavirus	Simulation	Procedure	0.716
3C-like proteinase, Coronavirus	Transfection	Procedure	0.787
3C-like proteinase, Coronavirus	Incubation laboratory procedure	Procedure	0.831
3C-like proteinase, Coronavirus	Microscopy	Procedure	0.898
3C-like proteinase, Coronavirus	Clinical research	Procedure	1.0
3C-like proteinase, Coronavirus	Clinical trials	Procedure	1.0
3C-like proteinase, Coronavirus	Scientific study	Procedure	1.0
3C-like proteinase, Coronavirus	DICOM study	Procedure	1.0
3C-like proteinase, Coronavirus	Study	Procedure	1.0
3C-like proteinase, Coronavirus	Research	Procedure	1.0
3C-like proteinase, Coronavirus	Research activities	Procedure	1.0
3C-like proteinase, Coronavirus	Asparaginase/ifosfamide/methotrexate	Procedure	1.0
3C-like proteinase, Coronavirus	Laser-induced fluorescence endoscopy	Procedure	1.0
3C-like proteinase, Coronavirus	Vaccination	Procedure	1.0
3C-like proteinase, Coronavirus	Pharmacotherapy	Procedure	1.0
3C-like proteinase, Coronavirus	Isolation procedure	Procedure	1.0
3C-like proteinase, Coronavirus	Excision	Procedure	1.0
3C-like proteinase, Coronavirus	Induction procedure	Procedure	1.0
3C-like proteinase, Coronavirus	Iontophoresis	Procedure	1.0
3C-like proteinase, Coronavirus	X-ray computed tomography	Procedure	1.0
3C-like proteinase, Coronavirus	Staining and labeling	Procedure	1.0
3C-like proteinase, Coronavirus	Polymerase chain reaction	Procedure	1.0
3C-like proteinase, Coronavirus	Isolation aspects	Procedure	1.0
3C-like proteinase, Coronavirus	Magnetic resonance spectroscopy	Procedure	1.0
3C-like proteinase, Coronavirus	Pathology procedure	Procedure	1.0
3C-like proteinase, Coronavirus	Clinical trial period	Procedure	1.0
3C-like proteinase, Coronavirus	Profile (lab procedure)	Procedure	1.0
3C-like proteinase, Coronavirus	Efficacy study	Procedure	1.0
3C-like proteinase, Coronavirus	Bacterial count measurement	Procedure	1.0
3C-like proteinase, Coronavirus	Staining method	Procedure	1.0
3C-like proteinase, Coronavirus	Severe Acute Respiratory Syndrome	Disease	1.76E-5
3C-like proteinase, Coronavirus	Feline infectious peritonitis	Disease	5.26E-5
3C-like proteinase, Coronavirus	Coronavirus Infections	Disease	2.67E-4
3C-like proteinase, Coronavirus	Bronchitis	Disease	3.01E-4
3C-like proteinase, Coronavirus	Gastroenteritis, Transmissible, of Swine	Disease	0.00132
3C-like proteinase, Coronavirus	Coronaviridae Infections	Disease	0.00167
3C-like proteinase, Coronavirus	Gastroenteritis	Disease	0.00185
3C-like proteinase, Coronavirus	Hepatitis	Disease	0.0107
3C-like proteinase, Coronavirus	Communicable Diseases, Emerging	Disease	0.0124
3C-like proteinase, Coronavirus	Infection	Disease	0.0413
3C-like proteinase, Coronavirus	Poultry Diseases	Disease	0.0488
3C-like proteinase, Coronavirus	Swine Diseases	Disease	0.0515
3C-like proteinase, Coronavirus	Communicable Diseases	Disease	0.0542
3C-like proteinase, Coronavirus	Dissociative disorder	Disease	0.0603
3C-like proteinase, Coronavirus	Pneumonia	Disease	0.0784
3C-like proteinase, Coronavirus	Peritonitis	Disease	0.0806
3C-like proteinase, Coronavirus	Respiratory Tract Diseases	Disease	0.0824
3C-like proteinase, Coronavirus	Cystic Fibrosis	Disease	0.109
3C-like proteinase, Coronavirus	Sprains and Strains	Disease	0.161
3C-like proteinase, Coronavirus	Disease	Disease	0.786
3C-like proteinase, Coronavirus	HIV Infections	Disease	1.0
3C-like proteinase, Coronavirus	gene 1 protein, Coronavirus	Chemical	8.9E-7
3C-like proteinase, Coronavirus	carbobenzyloxy-valyl-asparaginyl-seryl-threonyl-leuyl-glutamine chloromethylketone	Chemical	1.85E-6
3C-like proteinase, Coronavirus	UC2 compound	Chemical	1.85E-6
3C-like proteinase, Coronavirus	Cysteine Endopeptidases	Chemical	9.4E-6
3C-like proteinase, Coronavirus	cevine	Chemical	1.48E-5
3C-like proteinase, Coronavirus	Polyproteins	Chemical	1.59E-5
3C-like proteinase, Coronavirus	papain-like proteinase 2	Chemical	2.41E-5
3C-like proteinase, Coronavirus	papain-like proteinase 1	Chemical	4.27E-5
3C-like proteinase, Coronavirus	nonstructural protein, coronavirus	Chemical	6.12E-5
3C-like proteinase, Coronavirus	Cysteine Proteinase Inhibitors	Chemical	2.26E-4
3C-like proteinase, Coronavirus	Spike Glycoprotein, Coronavirus	Chemical	2.6E-4
3C-like proteinase, Coronavirus	rhodamine 110	Chemical	2.75E-4
3C-like proteinase, Coronavirus	Viral Proteins	Chemical	3.01E-4
3C-like proteinase, Coronavirus	Cevanes	Chemical	3.1E-4
3C-like proteinase, Coronavirus	3C-like protease, SARS coronavirus	Chemical	3.1E-4
3C-like proteinase, Coronavirus	nucleocapsid protein, Coronavirus	Chemical	4.64E-4
3C-like proteinase, Coronavirus	Peptidase	Chemical	5.32E-4
3C-like proteinase, Coronavirus	S protein, severe acute respiratory syndrome coronavirus	Chemical	8.36E-4
3C-like proteinase, Coronavirus	Antiviral Agent	Chemical	9.56E-4
