Selection	Association Name	Association Type	Significance
BCAR3	Phylogenetic analysis	Procedure	1.89E-4
BCAR3	Reverse genetics	Procedure	2.21E-4
BCAR3	Total protein measurement	Procedure	4.73E-4
BCAR3	Sequence alignment	Procedure	5.19E-4
BCAR3	Serial passage	Procedure	5.68E-4
BCAR3	Sequence analysis	Procedure	5.86E-4
BCAR3	Amino acid substitution	Procedure	7.17E-4
BCAR3	Yeast two hybrid interaction screening	Procedure	8.05E-4
BCAR3	Genome sequencing	Procedure	0.00116
BCAR3	Viral plaque assay	Procedure	0.00176
BCAR3	Reverse transcriptase polymerase chain reaction	Procedure	0.0018
BCAR3	Immunoprecipitation	Procedure	0.00257
BCAR3	Genetic annotation initiative	Procedure	0.00272
BCAR3	Analysis	Procedure	0.00273
BCAR3	Immunofluorescence assay	Procedure	0.00322
BCAR3	Sequence insertion	Procedure	0.00323
BCAR3	Radioimmunoprecipitation assay	Procedure	0.00325
BCAR3	Mutagenesis	Procedure	0.00332
BCAR3	Indirect fluorescence antibody test	Procedure	0.00341
BCAR3	Passage tissue culture technique	Procedure	0.0035
BCAR3	Transfection	Procedure	0.00375
BCAR3	Cell culture techniques	Procedure	0.00394
BCAR3	Inoculation	Procedure	0.00438
BCAR3	Genetic complementation test	Procedure	0.00464
BCAR3	Fluorescent antibody technique	Procedure	0.00484
BCAR3	Deletion mutagenesis	Procedure	0.00503
BCAR3	Vaccine development	Procedure	0.0055
BCAR3	Artificial gene fusion	Procedure	0.00563
BCAR3	Protein interaction mapping	Procedure	0.00601
BCAR3	High-throughput nucleotide sequencing	Procedure	0.00647
BCAR3	Scientific study	Procedure	0.00665
BCAR3	Study	Procedure	0.00665
BCAR3	DICOM study	Procedure	0.00665
BCAR3	Co-immunoprecipitation	Procedure	0.0068
BCAR3	Clinical research	Procedure	0.00682
BCAR3	Pyrosequencing	Procedure	0.00689
BCAR3	Genotype determination	Procedure	0.00691
BCAR3	Homology modeling	Procedure	0.0072
BCAR3	Genotyping techniques	Procedure	0.00724
BCAR3	Plaque assay	Procedure	0.00724
BCAR3	Comparative analysis	Procedure	0.00759
BCAR3	Clinical trials	Procedure	0.00769
BCAR3	Assay	Procedure	0.00782
BCAR3	Genetic analysis	Procedure	0.00814
BCAR3	Routine immunization	Procedure	0.00834
BCAR3	Biological assay	Procedure	0.00911
BCAR3	Immunoelectron microscopy	Procedure	0.0094
BCAR3	Deep sequencing	Procedure	0.00949
BCAR3	Indirect immunofluorescence	Procedure	0.00978
BCAR3	Vaccine design	Procedure	0.0101
BCAR3	DNA mutational analysis	Procedure	0.0107
BCAR3	Doxorubicin/etoposide/vinblastine protocol	Procedure	0.011
BCAR3	Two-hybrid system techniques	Procedure	0.0116
BCAR3	Neutralization tests	Procedure	0.0117
BCAR3	Surveillance program	Procedure	0.0127
BCAR3	Epitope mapping	Procedure	0.0128
BCAR3	Multi-angle laser light scattering	Procedure	0.0128
BCAR3	Yeast one/two-hybrid system	Procedure	0.013
