Selection	Association Name	Association Type	Significance
BRAF	Percutaneous transhepatic cholangiography	Procedure	4.76E-6
BRAF	Microsatellite instability diagnostic test	Procedure	4.79E-6
BRAF	DNA mutational analysis	Procedure	9.28E-6
BRAF	Targeted therapy	Procedure	1.54E-5
BRAF	BRAF v600E mutation analysis	Procedure	1.9E-5
BRAF	Molecular targeted therapy	Procedure	2.02E-5
BRAF	Mutation analysis	Procedure	3.03E-5
BRAF	Dideoxy chain termination DNA sequencing	Procedure	3.57E-5
BRAF	High-throughput nucleotide sequencing	Procedure	5.62E-5
BRAF	Mutation detection	Procedure	5.77E-5
BRAF	Fine needle aspiration biopsy	Procedure	7.02E-5
BRAF	Immunohistochemistry	Procedure	8.1E-5
BRAF	Individualized medicine	Procedure	9.59E-5
BRAF	Epidermal growth factor measurement	Procedure	9.76E-5
BRAF	Immunotherapy	Procedure	1.01E-4
BRAF	BRAF gene mutation analysis	Procedure	1.09E-4
BRAF	Xenograft model antitumor assays	Procedure	1.12E-4
BRAF	Pyrosequencing	Procedure	1.16E-4
BRAF	Molecular analysis	Procedure	1.25E-4
BRAF	Antineoplastic combined chemotherapy protocols	Procedure	1.3E-4
BRAF	Polymerase chain reaction	Procedure	1.58E-4
BRAF	Folinic acid-fluorouracil-irinotecan regimen	Procedure	1.65E-4
BRAF	Molecular profiling	Procedure	1.7E-4
BRAF	Thyroidectomy	Procedure	1.71E-4
BRAF	Molecular pathology tests	Procedure	1.76E-4
BRAF	Gene amplification technique	Procedure	1.84E-4
BRAF	Gene fusion	Procedure	1.88E-4
BRAF	Therapeutic procedure	Procedure	2.05E-4
BRAF	Administration procedure	Procedure	2.05E-4
BRAF	Treatment study	Procedure	2.05E-4
BRAF	Molecular diagnostic techniques	Procedure	2.14E-4
BRAF	Experimental design	Procedure	2.17E-4
BRAF	Molecular diagnostics (lab procedure)	Procedure	2.25E-4
BRAF	FOLFOX regimen	Procedure	2.33E-4
BRAF	DNA sequence determinations	Procedure	2.4E-4
BRAF	Pharmacotherapy	Procedure	2.52E-4
BRAF	Xenograft procedure	Procedure	2.53E-4
BRAF	Paraffin embedding	Procedure	2.84E-4
BRAF	Genomic profile	Procedure	2.85E-4
BRAF	Total thyroidectomy	Procedure	3.02E-4
BRAF	Test, cytology, digestive	Procedure	3.12E-4
BRAF	Cytology procedure	Procedure	3.17E-4
BRAF	Tissue array analysis	Procedure	3.61E-4
BRAF	Cytological techniques	Procedure	3.71E-4
BRAF	Neoplasm grading	Procedure	3.8E-4
BRAF	Total protein measurement	Procedure	3.84E-4
BRAF	Amino acid substitution	Procedure	4.03E-4
BRAF	Analysis	Procedure	4.05E-4
BRAF	Systemic therapy	Procedure	4.14E-4
BRAF	Efficacy study	Procedure	4.38E-4
BRAF	Real-time polymerase chain reaction	Procedure	4.62E-4
BRAF	Nurses' health study	Procedure	4.82E-4
BRAF	Tumor burden	Procedure	4.84E-4
BRAF	Gene expression profiling	Procedure	4.86E-4
BRAF	First-line therapy	Procedure	5.09E-4
BRAF	Biopsy	Procedure	5.21E-4
BRAF	Histology procedure	Procedure	5.31E-4
BRAF	Stratification	Procedure	5.41E-4
BRAF	Cancer therapeutic procedure	Procedure	5.69E-4
BRAF	Combined modality therapy	Procedure	5.7E-4
BRAF	Clinical trials	Procedure	6.05E-4
BRAF	Treatment options	Procedure	6.14E-4
BRAF	Insulin like growth factor-2 measurement	Procedure	6.3E-4
BRAF	Genetic screening method	Procedure	6.51E-4
BRAF	Genetic testing for cancer risk	Procedure	6.77E-4
BRAF	Diagnosis study	Procedure	6.82E-4
BRAF	Profile (lab procedure)	Procedure	6.87E-4
BRAF	Survival analysis	Procedure	7.06E-4
BRAF	The science and art of healing	Procedure	7.22E-4
BRAF	Phase III protocol	Procedure	7.27E-4
BRAF	Phase II protocol	Procedure	7.38E-4
BRAF	Kras mutation analysis testing	Procedure	7.67E-4
BRAF	Microdissection	Procedure	7.84E-4
BRAF	Cytotoxic chemotherapy	Procedure	8.11E-4
BRAF	Needle aspiration,	Procedure	8.28E-4
BRAF	Multiplex polymerase chain reaction	Procedure	8.52E-4
BRAF	Molecular diagnosis	Procedure	8.54E-4
BRAF	Detection	Procedure	8.62E-4
BRAF	Metastasectomy	Procedure	8.67E-4
BRAF	Array-based comparative genomic hybridization	Procedure	0.00103
BRAF	Tumor biology	Procedure	0.00104
BRAF	Biomarker analysis	Procedure	0.00104
BRAF	Retrospective studies	Procedure	0.00105
BRAF	RNA sequence determinations	Procedure	0.00109
BRAF	Removal technique	Procedure	0.00114
BRAF	Adjuvant therapy	Procedure	0.00115
BRAF	Ssa	Procedure	0.00117
BRAF	Tissue fixation	Procedure	0.00118
BRAF	Surgical pathology procedure	Procedure	0.0012
BRAF	Assay	Procedure	0.00125
BRAF	Data transformation	Procedure	0.00125
BRAF	Clinical research	Procedure	0.00126
BRAF	Scientific study	Procedure	0.00126
BRAF	Study	Procedure	0.00126
BRAF	DICOM study	Procedure	0.00126
BRAF	Genetic association studies	Procedure	0.00133
BRAF	Hras gene	Procedure	0.00135
BRAF	Hairy cell count	Procedure	0.00137
BRAF	Microsatellite instability analysis	Procedure	0.00139
BRAF	Biological assay	Procedure	0.00149
BRAF	Puncture biopsy	Procedure	0.00151
BRAF	Staining method	Procedure	0.00152
BRAF	Reverse transcriptase polymerase chain reaction	Procedure	0.00155
BRAF	Cisplatin/doxorubicin/mitomycin protocol	Procedure	0.00156
BRAF	Anchorage-independent growth	Procedure	0.00157
BRAF	Nucleic acid hybridization procedure	Procedure	0.00159
BRAF	Validation	Procedure	0.0016
BRAF	Adjuvant chemotherapy	Procedure	0.00167
BRAF	Surgical procedures on the thyroid gland	Procedure	0.00174
BRAF	Altretamine/carboplatin/cyclophosphamide/doxorubicin	Procedure	0.00175
BRAF	Cytopathology procedures	Procedure	0.00175
BRAF	Comparative genomic analysis	Procedure	0.00179
BRAF	Screening for cancer	Procedure	0.0018
BRAF	Microarray analysis	Procedure	0.0018
BRAF	Dermoscopy	Procedure	0.00181
BRAF	Disease screening	Procedure	0.00184
BRAF	Disorder control	Procedure	0.00189
BRAF	Whole-brain radiotherapy	Procedure	0.00193
BRAF	Vascular endothelial growth factor measurement	Procedure	0.00197
BRAF	Cetuximab/irinotecan	Procedure	0.00198
BRAF	Antibody therapy	Procedure	0.00199
BRAF	DNA methylation analysis	Procedure	0.00199
BRAF	Staining and labeling	Procedure	0.00202
BRAF	Therapeutic lymphadenectomy	Procedure	0.00205
BRAF	Disease stage	Procedure	0.00213
BRAF	Gene knockdown techniques	Procedure	0.00228
BRAF	Monoclonal antibody therapy	Procedure	0.00228
BRAF	Mass screening	Procedure	0.00233
BRAF	Asparaginase/ifosfamide/methotrexate	Procedure	0.00237
BRAF	Neck dissection	Procedure	0.00241
BRAF	Dacryocystorhinostomy	Procedure	0.00244
BRAF	Genetic analysis	Procedure	0.00248
BRAF	Oligonucleotide array sequence analysis	Procedure	0.00249
BRAF	Deep sequencing	Procedure	0.00256
BRAF	Gentamicin/piperacillin/vancomycin	Procedure	0.00262
BRAF	Laser capture microdissection	Procedure	0.00268
BRAF	Univariate analysis	Procedure	0.00271
BRAF	Hierarchical clustering	Procedure	0.00271
BRAF	Blood creatine	Procedure	0.00302
BRAF	Genotyping techniques	Procedure	0.00316
BRAF	Radiosurgery	Procedure	0.00319
BRAF	Adjuvant study	Procedure	0.00323
BRAF	Tumor infiltrating lymphocyte therapy	Procedure	0.00329
BRAF	Total resection	Procedure	0.00331
BRAF	Infiltration	Procedure	0.00333
