Selection	Association Name	Association Type	Significance
ERVW-1	Neutralising antibodies analysis	Procedure	7.91E-6
ERVW-1	Neutralization actcode	Procedure	1.09E-5
ERVW-1	Neutralization tests	Procedure	1.12E-5
ERVW-1	CD4 expressing T cell count	Procedure	1.36E-5
ERVW-1	Total protein measurement	Procedure	1.8E-5
ERVW-1	Cell fusion procedure	Procedure	2.85E-5
ERVW-1	Vaccine design	Procedure	3.73E-5
ERVW-1	Epitope mapping	Procedure	4.83E-5
ERVW-1	Vaccine development	Procedure	6.49E-5
ERVW-1	Immunization	Procedure	6.67E-5
ERVW-1	Vaccination	Procedure	8.02E-5
ERVW-1	Amino acid substitution	Procedure	1.16E-4
ERVW-1	Radioimmunoprecipitation assay	Procedure	1.33E-4
ERVW-1	Enzyme-linked immunosorbent assay	Procedure	1.38E-4
ERVW-1	Transfection	Procedure	2.14E-4
ERVW-1	Mutagenesis	Procedure	2.91E-4
ERVW-1	Lymphocyte count measurement	Procedure	3.16E-4
ERVW-1	Viral plaque assay	Procedure	3.62E-4
ERVW-1	Sequence alignment	Procedure	4.07E-4
ERVW-1	Baculovirus expression system	Procedure	4.13E-4
ERVW-1	Assay	Procedure	4.14E-4
ERVW-1	Biological assay	Procedure	4.42E-4
ERVW-1	AIDS vaccine development	Procedure	5.04E-4
ERVW-1	Serum neutralization	Procedure	5.09E-4
ERVW-1	Carmustine/doxorubicin/fluorouracil protocol	Procedure	5.5E-4
ERVW-1	HIV-1 antibody measurement	Procedure	5.51E-4
ERVW-1	Gene transfer	Procedure	5.85E-4
ERVW-1	Induction procedure	Procedure	5.87E-4
ERVW-1	Fluorescent antibody technique	Procedure	6.16E-4
ERVW-1	Western blot	Procedure	6.38E-4
ERVW-1	Surface plasmon resonance	Procedure	6.48E-4
ERVW-1	MNrgp120 vaccine	Procedure	6.49E-4
ERVW-1	Hepatitis B surface antigen measurement	Procedure	6.5E-4
ERVW-1	Cell culture techniques	Procedure	6.65E-4
ERVW-1	Gene delivery process	Procedure	6.88E-4
ERVW-1	Gene therapy	Procedure	6.99E-4
ERVW-1	Sequence analysis	Procedure	7.2E-4
ERVW-1	Phage display	Procedure	7.21E-4
ERVW-1	Hepatitis G RNA measurement	Procedure	7.3E-4
ERVW-1	Hepatitis rna	Procedure	7.41E-4
ERVW-1	Inoculation	Procedure	7.51E-4
ERVW-1	Immunoprecipitation	Procedure	7.68E-4
ERVW-1	Reverse genetics	Procedure	7.68E-4
ERVW-1	Thematic apperception test	Procedure	7.85E-4
ERVW-1	Vaccine research	Procedure	8.09E-4
ERVW-1	Polymerase chain reaction	Procedure	8.1E-4
ERVW-1	Precipitin tests	Procedure	8.53E-4
ERVW-1	Cryoelectron microscopy	Procedure	9.14E-4
ERVW-1	High voltage electron microscopy	Procedure	9.89E-4
ERVW-1	Immunofluorescence assay	Procedure	9.96E-4
ERVW-1	Virus inactivation	Procedure	0.00104
ERVW-1	Affinity chromatography	Procedure	0.00112
ERVW-1	Gene transfer techniques	Procedure	0.00112
ERVW-1	Serial passage	Procedure	0.00114
ERVW-1	Immunoblotting	Procedure	0.00116
ERVW-1	Circular dichroism	Procedure	0.00121
ERVW-1	Gene gun DNA immunization	Procedure	0.00121
ERVW-1	Flow cytometry	Procedure	0.00125
ERVW-1	Sds-page	Procedure	0.00126
ERVW-1	Immunoelectron microscopy	Procedure	0.00127
ERVW-1	DAV regimen	Procedure	0.00134
ERVW-1	Monocyte count procedure	Procedure	0.0014
ERVW-1	Protein engineering	Procedure	0.00141
ERVW-1	MMM regimen	Procedure	0.00148
ERVW-1	Chorionic gonadotropin measurement	Procedure	0.00148
ERVW-1	Phylogenetic analysis	Procedure	0.00153
ERVW-1	Asparaginase/prednisone/vincristine protocol	Procedure	0.0016
ERVW-1	Far-western blotting	Procedure	0.00161
ERVW-1	Restriction mapping	Procedure	0.00162
ERVW-1	Reverse transcriptase polymerase chain reaction	Procedure	0.00164
ERVW-1	HAC protocol	Procedure	0.00172
ERVW-1	Reg upon act normal T-cell exprd secrtd measurement	Procedure	0.00186
ERVW-1	Culture of specimen from other site	Procedure	0.00192
ERVW-1	Culture of specimen from unspecified site	Procedure	0.00192
ERVW-1	Laboratory culture	Procedure	0.00192
ERVW-1	Immunoglobulin measurement	Procedure	0.00197
ERVW-1	Cytarabine/etoposide/methotrexate protocol	Procedure	0.00197
ERVW-1	Cyclophosphamide/doxorubicin/vincristine protocol	Procedure	0.00198
ERVW-1	Cyclophosphamide/etoposide/methotrexate protocol	Procedure	0.00198
ERVW-1	Indirect immunofluorescence	Procedure	0.00201
ERVW-1	Genetic engineering	Procedure	0.00203
ERVW-1	CD8 expressing T cell count	Procedure	0.00209
ERVW-1	Enzyme-linked immunospot assay	Procedure	0.00223
ERVW-1	Analysis	Procedure	0.00224
ERVW-1	Positive selection	Procedure	0.00225
ERVW-1	Booster	Procedure	0.00233
ERVW-1	Western blotting	Procedure	0.00234
ERVW-1	Coculture techniques	Procedure	0.00243
ERVW-1	Cisplatin/methotrexate/vinblastine protocol	Procedure	0.00243
ERVW-1	Peptide mapping	Procedure	0.0025
ERVW-1	Passive immunization procedure	Procedure	0.00251
ERVW-1	Passage tissue culture technique	Procedure	0.00269
ERVW-1	Electron microscopy	Procedure	0.00271
ERVW-1	Immunoaffinity chromatography	Procedure	0.00272
ERVW-1	Dexamethasone/metoclopramide/midazolam	Procedure	0.00277
ERVW-1	Vaccine testing	Procedure	0.00278
ERVW-1	Immune targeting	Procedure	0.00286
ERVW-1	Viral load measurement	Procedure	0.00288
ERVW-1	Sialic acid assay	Procedure	0.00292
ERVW-1	Antiviral therapy	Procedure	0.00292
ERVW-1	CNS injection	Procedure	0.00298
ERVW-1	Insertional activation	Procedure	0.00301
ERVW-1	Agar gel immunodiffusion	Procedure	0.00316
ERVW-1	Antigen capture ELISA	Procedure	0.00316
ERVW-1	Cloning	Procedure	0.00318
ERVW-1	The science and art of healing	Procedure	0.00321
ERVW-1	Enzyme immunoassay	Procedure	0.00321
ERVW-1	Indirect fluorescence antibody test	Procedure	0.00332
ERVW-1	Cell culture system	Procedure	0.00345
ERVW-1	Retrospective studies	Procedure	0.0035
ERVW-1	Serologic diagnosis	Procedure	0.00356
ERVW-1	DNA mutational analysis	Procedure	0.00367
ERVW-1	Ultracentrifugation	Procedure	0.00369
ERVW-1	Anti-HIV therapy	Procedure	0.00369
ERVW-1	Observation method cytotoxicity	Procedure	0.00372
ERVW-1	Virus cultivation	Procedure	0.00388
ERVW-1	Doxorubicin/mitomycin/vinblastine protocol	Procedure	0.00388
ERVW-1	Release	Procedure	0.00399
ERVW-1	Protein digestion (research activity)	Procedure	0.00417
ERVW-1	Immunoglobulin M measurement	Procedure	0.00418
ERVW-1	Molecular modeling	Procedure	0.00418
ERVW-1	Indirect fluorescent antibody technique	Procedure	0.00427
ERVW-1	Diagnosis study	Procedure	0.0043
ERVW-1	Complement c1q binding	Procedure	0.00448
ERVW-1	Passive immunotherapy	Procedure	0.00455
ERVW-1	Immunologic techniques	Procedure	0.00467
ERVW-1	Cell hybridization	Procedure	0.00471
ERVW-1	Biotinylation	Procedure	0.00475
