Selection	Association Name	Association Type	Significance
HFM1	Homologous recombination	Procedure	1.97E-5
HFM1	Total protein measurement	Procedure	2.52E-5
HFM1	Yeast cell measurement	Procedure	4.05E-5
HFM1	DNA chemical synthesis	Procedure	1.02E-4
HFM1	Sequence alignment	Procedure	1.5E-4
HFM1	Immunoprecipitation	Procedure	1.76E-4
HFM1	Two-hybrid system techniques	Procedure	1.92E-4
HFM1	Transverse thoracic diameter (TTD)	Procedure	2.36E-4
HFM1	Mutagenesis	Procedure	2.53E-4
HFM1	Genetic complementation test	Procedure	2.63E-4
HFM1	Amino acid substitution	Procedure	3.35E-4
HFM1	DNA stability	Procedure	4.12E-4
HFM1	Fluorescence resonance energy transfer	Procedure	4.71E-4
HFM1	Co-immunoprecipitation	Procedure	5.02E-4
HFM1	Yeast two-hybrid system techniques	Procedure	5.44E-4
HFM1	General (procedure) toxicology screen	Procedure	6.71E-4
HFM1	Memory for designs test	Procedure	7.29E-4
HFM1	Gene knockdown techniques	Procedure	7.48E-4
HFM1	Phylogenetic analysis	Procedure	8.62E-4
HFM1	Electrophoretic mobility shift assay	Procedure	8.77E-4
HFM1	Protein interaction mapping	Procedure	9.03E-4
HFM1	Sequence analysis	Procedure	0.00102
HFM1	Cryoelectron microscopy	Procedure	0.00107
HFM1	Transfection	Procedure	0.0011
HFM1	Removal technique	Procedure	0.00112
HFM1	Chromatin immunoprecipitation	Procedure	0.00112
HFM1	Restriction mapping	Procedure	0.00117
HFM1	Assay	Procedure	0.00119
HFM1	Genetic disorders screening	Procedure	0.00131
HFM1	Excision	Procedure	0.00132
HFM1	Biological assay	Procedure	0.00133
HFM1	Fluorescence polarization	Procedure	0.00137
HFM1	Optical tweezers	Procedure	0.00138
HFM1	DNA mutational analysis	Procedure	0.0014
HFM1	Reverse transcriptase polymerase chain reaction	Procedure	0.00144
HFM1	Cloning	Procedure	0.00144
HFM1	DNA footprinting	Procedure	0.00156
HFM1	Far-western blotting	Procedure	0.00164
HFM1	Therapeutic procedure	Procedure	0.00172
HFM1	Administration procedure	Procedure	0.00173
HFM1	Treatment study	Procedure	0.00173
HFM1	Analysis	Procedure	0.00181
HFM1	Ufd-1	Procedure	0.00189
HFM1	Primer extension	Procedure	0.00192
HFM1	Bacterial count measurement	Procedure	0.00195
HFM1	Gene expression profiling	Procedure	0.00208
HFM1	Gene knockout techniques	Procedure	0.00219
HFM1	Precipitin tests	Procedure	0.00226
HFM1	Cyclophosphamide/doxorubicin/prednisone protocol	Procedure	0.00228
HFM1	Genetic analysis	Procedure	0.00228
HFM1	Chromosome mapping	Procedure	0.00232
HFM1	Altretamine/etoposide/methotrexate protocol	Procedure	0.00249
HFM1	Affinity chromatography	Procedure	0.00251
HFM1	Yeast one/two-hybrid system	Procedure	0.00253
HFM1	Length of trial	Procedure	0.0027
HFM1	Clinical trial period	Procedure	0.00271
HFM1	Cisplatin/cyclophosphamide/doxorubicin protocol	Procedure	0.00282
HFM1	Genetic screening method	Procedure	0.00303
HFM1	Sedimentation procedure	Procedure	0.00309
HFM1	Analytical ultracentrifugation	Procedure	0.00311
HFM1	Reverse genetics	Procedure	0.00318
HFM1	Diagnosis study	Procedure	0.0033
HFM1	Retrospective studies	Procedure	0.00342
HFM1	Surgical and medical procedures	Procedure	0.00344
HFM1	Polymerase chain reaction	Procedure	0.00365
HFM1	Cardiology studies	Procedure	0.00371
HFM1	Laboratory procedures	Procedure	0.00384
HFM1	Induction procedure	Procedure	0.00394
HFM1	Asparaginase/ifosfamide/methotrexate	Procedure	0.00395
HFM1	Gene amplification technique	Procedure	0.004
HFM1	Research	Procedure	0.00404
HFM1	Optical trap	Procedure	0.00412
HFM1	Immunoblotting	Procedure	0.00425
HFM1	Clinical trials	Procedure	0.00436
HFM1	Hepatitis G RNA measurement	Procedure	0.00469
HFM1	Follow-up studies	Procedure	0.00472
HFM1	Fluorescent antibody technique	Procedure	0.00473
HFM1	Prospective studies	Procedure	0.00483
HFM1	Subtraction hybridization	Procedure	0.00492
HFM1	Chromo	Procedure	0.00501
HFM1	Rapid antigen test	Procedure	0.00509
HFM1	Zinc measurement	Procedure	0.00517
HFM1	Clinical research	Procedure	0.00565
HFM1	Research activities	Procedure	0.00568
HFM1	Sequence insertion	Procedure	0.0057
HFM1	Gene targeting	Procedure	0.00579
HFM1	Knowledge acquisition	Procedure	0.00581
HFM1	Scientific study	Procedure	0.006
HFM1	Study	Procedure	0.006
