Selection	Association Name	Association Type	Significance
KRAS	Kras mutation analysis testing	Procedure	5.03E-6
KRAS	Microsatellite instability diagnostic test	Procedure	8.89E-6
KRAS	DNA mutational analysis	Procedure	1.19E-5
KRAS	Epidermal growth factor measurement	Procedure	1.86E-5
KRAS	Folinic acid-fluorouracil-irinotecan regimen	Procedure	2.55E-5
KRAS	Mutation detection	Procedure	3.12E-5
KRAS	High-throughput nucleotide sequencing	Procedure	4.86E-5
KRAS	Dideoxy chain termination DNA sequencing	Procedure	5.25E-5
KRAS	Targeted therapy	Procedure	5.59E-5
KRAS	Mutation analysis	Procedure	5.68E-5
KRAS	FOLFOX regimen	Procedure	5.78E-5
KRAS	Molecular targeted therapy	Procedure	7.14E-5
KRAS	Gene amplification technique	Procedure	7.9E-5
KRAS	Polymerase chain reaction	Procedure	8.23E-5
KRAS	Antineoplastic combined chemotherapy protocols	Procedure	9.7E-5
KRAS	Individualized medicine	Procedure	1.17E-4
KRAS	Xenograft model antitumor assays	Procedure	1.23E-4
KRAS	Pharmacotherapy	Procedure	1.38E-4
KRAS	Immunohistochemistry	Procedure	1.44E-4
KRAS	Molecular profiling	Procedure	1.52E-4
KRAS	Total protein measurement	Procedure	1.58E-4
KRAS	Molecular analysis	Procedure	1.62E-4
KRAS	KRAS gene mutation analysis	Procedure	1.86E-4
KRAS	Pyrosequencing	Procedure	1.9E-4
KRAS	Hras gene	Procedure	2.18E-4
KRAS	Analysis	Procedure	2.3E-4
KRAS	Xenograft procedure	Procedure	2.45E-4
KRAS	Phase II protocol	Procedure	2.47E-4
KRAS	Paraffin embedding	Procedure	2.51E-4
KRAS	Experimental design	Procedure	2.52E-4
KRAS	Cetuximab/irinotecan	Procedure	2.8E-4
KRAS	Amino acid substitution	Procedure	2.95E-4
KRAS	Assay	Procedure	3.03E-4
KRAS	DNA sequence determinations	Procedure	3.15E-4
KRAS	Administration procedure	Procedure	3.25E-4
KRAS	Treatment study	Procedure	3.25E-4
KRAS	Therapeutic procedure	Procedure	3.26E-4
KRAS	Biological assay	Procedure	3.37E-4
KRAS	Gene expression profiling	Procedure	3.4E-4
KRAS	First-line therapy	Procedure	3.43E-4
KRAS	Gene fusion	Procedure	3.57E-4
KRAS	Biomarker analysis	Procedure	3.62E-4
KRAS	Molecular pathology tests	Procedure	3.79E-4
KRAS	Genomic profile	Procedure	3.79E-4
KRAS	Nucleic acid hybridization procedure	Procedure	3.82E-4
KRAS	Deep sequencing	Procedure	3.93E-4
KRAS	Molecular diagnostic techniques	Procedure	3.94E-4
KRAS	Data transformation	Procedure	3.97E-4
KRAS	Anchorage-independent growth	Procedure	4.0E-4
KRAS	Efficacy study	Procedure	4.04E-4
KRAS	Real-time polymerase chain reaction	Procedure	4.11E-4
KRAS	Survival analysis	Procedure	4.16E-4
KRAS	Antibody therapy	Procedure	4.44E-4
KRAS	Cancer therapeutic procedure	Procedure	4.48E-4
KRAS	Tumor burden	Procedure	4.64E-4
KRAS	Detection	Procedure	4.65E-4
KRAS	Third-line therapy	Procedure	4.79E-4
KRAS	Tumor biology	Procedure	4.98E-4
KRAS	Clinical trials	Procedure	5.15E-4
KRAS	Microdissection	Procedure	5.15E-4
KRAS	Endoscopic ultrasound-guided fine-needle aspiration	Procedure	5.57E-4
KRAS	Neoplasm grading	Procedure	5.59E-4
KRAS	Transfection	Procedure	5.91E-4
KRAS	Tissue array analysis	Procedure	6.35E-4
KRAS	Reverse transcriptase polymerase chain reaction	Procedure	6.42E-4
KRAS	Gamma glutamyl transferase measurement	Procedure	6.81E-4
KRAS	Xeloda-oxaliplatin regimen	Procedure	7.03E-4
KRAS	The science and art of healing	Procedure	7.13E-4
KRAS	Scientific study	Procedure	7.29E-4
KRAS	Study	Procedure	7.29E-4
KRAS	DICOM study	Procedure	7.29E-4
KRAS	Clinical research	Procedure	7.37E-4
KRAS	Profile (lab procedure)	Procedure	7.37E-4
KRAS	Molecular diagnostics (lab procedure)	Procedure	7.38E-4
KRAS	Histology procedure	Procedure	7.64E-4
KRAS	Antiviral therapy	Procedure	8.36E-4
KRAS	Chromogenic in situ hybridization	Procedure	8.5E-4
KRAS	Adjuvant chemotherapy	Procedure	8.52E-4
KRAS	Monoclonal antibody therapy	Procedure	8.53E-4
KRAS	Genotyping techniques	Procedure	8.59E-4
KRAS	Metastasectomy	Procedure	8.59E-4
KRAS	Fine needle aspiration biopsy	Procedure	9.0E-4
KRAS	Nurses' health study	Procedure	9.07E-4
KRAS	Biopsy	Procedure	9.18E-4
KRAS	Insulin like growth factor-2 measurement	Procedure	9.4E-4
KRAS	Carcinoembryonic antigen measurement	Procedure	0.00101
KRAS	Cytology procedure	Procedure	0.00107
KRAS	Test, cytology, digestive	Procedure	0.00108
KRAS	Removal technique	Procedure	0.00111
KRAS	FOLFOXIRI protocol	Procedure	0.00112
KRAS	Tissue fixation	Procedure	0.00113
KRAS	Enzyme-linked immunospot assay	Procedure	0.00113
