Selection	Association Name	Association Type	Significance
Membrane Glycoproteins	Total protein measurement	Procedure	9.93E-6
Membrane Glycoproteins	CD40 ligand measurement	Procedure	1.58E-5
Membrane Glycoproteins	CD40 measurement	Procedure	1.7E-5
Membrane Glycoproteins	Flow cytometry	Procedure	2.3E-5
Membrane Glycoproteins	Direct coombs test	Procedure	2.62E-5
Membrane Glycoproteins	Transfection	Procedure	2.82E-5
Membrane Glycoproteins	Cytarabine/daunorubicin/thioguanine	Procedure	3.06E-5
Membrane Glycoproteins	Lymphocyte count measurement	Procedure	3.16E-5
Membrane Glycoproteins	Immunohistochemistry	Procedure	3.72E-5
Membrane Glycoproteins	Osteoprotegerin test	Procedure	4.11E-5
Membrane Glycoproteins	Tumor necrosis factor measurement	Procedure	4.78E-5
Membrane Glycoproteins	CD8 expressing T cell count	Procedure	4.96E-5
Membrane Glycoproteins	CD4 expressing T cell count	Procedure	5.93E-5
Membrane Glycoproteins	Induction procedure	Procedure	5.99E-5
Membrane Glycoproteins	Monocyte count procedure	Procedure	6.32E-5
Membrane Glycoproteins	Reverse transcriptase polymerase chain reaction	Procedure	6.33E-5
Membrane Glycoproteins	Fluorescent antibody technique	Procedure	6.55E-5
Membrane Glycoproteins	Dopamine measurement	Procedure	7.32E-5
Membrane Glycoproteins	Serotonin measurement	Procedure	8.1E-5
Membrane Glycoproteins	Immunoblotting	Procedure	8.32E-5
Membrane Glycoproteins	Squamous transitional epithelial cell count	Procedure	8.33E-5
Membrane Glycoproteins	Epithelial cell count	Procedure	8.5E-5
Membrane Glycoproteins	Immunophenotyping	Procedure	9.08E-5
Membrane Glycoproteins	Sialic acid assay	Procedure	9.52E-5
Membrane Glycoproteins	Staining method	Procedure	9.82E-5
Membrane Glycoproteins	Platelet count measurement	Procedure	9.83E-5
Membrane Glycoproteins	Immunoprecipitation	Procedure	1.02E-4
Membrane Glycoproteins	Immunofluorescence assay	Procedure	1.03E-4
Membrane Glycoproteins	Coculture techniques	Procedure	1.05E-4
Membrane Glycoproteins	Staining and labeling	Procedure	1.08E-4
Membrane Glycoproteins	Enzyme-linked immunosorbent assay	Procedure	1.27E-4
Membrane Glycoproteins	Precipitin tests	Procedure	1.34E-4
Membrane Glycoproteins	Observation method cytotoxicity	Procedure	1.41E-4
Membrane Glycoproteins	Immunoglobulin measurement	Procedure	1.47E-4
Membrane Glycoproteins	Western blot	Procedure	1.58E-4
Membrane Glycoproteins	Absolute neutrophil count	Procedure	1.68E-4
Membrane Glycoproteins	Cloning	Procedure	1.77E-4
Membrane Glycoproteins	Rapid antigen test	Procedure	1.89E-4
Membrane Glycoproteins	CD3 expressing T cell count	Procedure	1.89E-4
Membrane Glycoproteins	Adoptive transfer	Procedure	1.91E-4
Membrane Glycoproteins	In situ hybridization	Procedure	1.93E-4
Membrane Glycoproteins	Fluorescence-activated cell sorting	Procedure	2.01E-4
Membrane Glycoproteins	Sds-page	Procedure	2.04E-4
Membrane Glycoproteins	Northern blotting	Procedure	2.06E-4
Membrane Glycoproteins	Immunoelectron microscopy	Procedure	2.09E-4
Membrane Glycoproteins	Release	Procedure	2.19E-4
Membrane Glycoproteins	In situ nick-end labeling	Procedure	2.21E-4
Membrane Glycoproteins	Culture of specimen from other site	Procedure	2.31E-4
Membrane Glycoproteins	Culture of specimen from unspecified site	Procedure	2.31E-4
Membrane Glycoproteins	Laboratory culture	Procedure	2.31E-4
