Selection	Association Name	Association Type	Significance
NRAS	DNA mutational analysis	Procedure	2.82E-5
NRAS	Dideoxy chain termination DNA sequencing	Procedure	9.09E-5
NRAS	Hras gene	Procedure	1.0E-4
NRAS	Targeted therapy	Procedure	1.03E-4
NRAS	High-throughput nucleotide sequencing	Procedure	1.13E-4
NRAS	Mutation analysis	Procedure	1.14E-4
NRAS	Polymerase chain reaction	Procedure	1.71E-4
NRAS	Gene amplification technique	Procedure	1.76E-4
NRAS	Molecular targeted therapy	Procedure	2.56E-4
NRAS	Data transformation	Procedure	2.57E-4
NRAS	Mutation detection	Procedure	2.91E-4
NRAS	Epidermal growth factor measurement	Procedure	3.0E-4
NRAS	Microsatellite instability diagnostic test	Procedure	3.15E-4
NRAS	Folinic acid-fluorouracil-irinotecan regimen	Procedure	3.39E-4
NRAS	Nucleic acid hybridization procedure	Procedure	3.76E-4
NRAS	Molecular analysis	Procedure	3.78E-4
NRAS	Transfection	Procedure	3.8E-4
NRAS	Percutaneous transhepatic cholangiography	Procedure	4.24E-4
NRAS	SSCP analysis	Procedure	4.97E-4
NRAS	Blast count procedure	Procedure	5.34E-4
NRAS	Nude mouse assay	Procedure	5.41E-4
NRAS	Anchorage-independent growth	Procedure	6.36E-4
NRAS	Cytopathology procedures	Procedure	6.39E-4
NRAS	Gene fusion	Procedure	6.42E-4
NRAS	Total protein measurement	Procedure	6.68E-4
NRAS	Pyrosequencing	Procedure	6.97E-4
NRAS	Molecular profiling	Procedure	7.02E-4
NRAS	DNA sequence determinations	Procedure	7.32E-4
NRAS	DNA-mediated gene transfer	Procedure	7.41E-4
NRAS	FOLFOX regimen	Procedure	7.69E-4
NRAS	Analysis	Procedure	7.83E-4
NRAS	Southern blot assay	Procedure	7.96E-4
NRAS	Individualized medicine	Procedure	8.67E-4
NRAS	Immunohistochemistry	Procedure	8.86E-4
NRAS	Gene expression profiling	Procedure	8.87E-4
NRAS	Xenograft model antitumor assays	Procedure	9.27E-4
NRAS	Experimental design	Procedure	0.00107
NRAS	Fine needle aspiration biopsy	Procedure	0.00109
NRAS	Array-based comparative genomic hybridization	Procedure	0.0011
NRAS	Gamma glutamyl transferase measurement	Procedure	0.00112
NRAS	Cytogenetic analysis	Procedure	0.00116
NRAS	Molecular diagnostics (lab procedure)	Procedure	0.00122
NRAS	Comparative genomic analysis	Procedure	0.00131
NRAS	Therapeutic lymphadenectomy	Procedure	0.00132
NRAS	Genomic profile	Procedure	0.00133
NRAS	Xenograft procedure	Procedure	0.00134
NRAS	Molecular pathology tests	Procedure	0.00135
NRAS	Antineoplastic combined chemotherapy protocols	Procedure	0.00137
NRAS	Paraffin embedding	Procedure	0.00137
NRAS	Deep sequencing	Procedure	0.0016
NRAS	Molecular diagnostic techniques	Procedure	0.00164
NRAS	Multiplex polymerase chain reaction	Procedure	0.00181
NRAS	Laser capture microdissection	Procedure	0.00184
NRAS	Assay	Procedure	0.00186
NRAS	Lymph node needle biopsy	Procedure	0.00192
NRAS	Amino acid substitution	Procedure	0.00199
NRAS	Microsatellite instability analysis	Procedure	0.00203
NRAS	Multiregional analysis	Procedure	0.00208
NRAS	Biological assay	Procedure	0.00217
NRAS	Pharmacotherapy	Procedure	0.00219
NRAS	Cytotoxic chemotherapy	Procedure	0.00221
NRAS	Profile (lab procedure)	Procedure	0.00222
NRAS	Polymorphism analysis	Procedure	0.00227
NRAS	Immunotherapy	Procedure	0.00244
NRAS	Genetic screening method	Procedure	0.00262
NRAS	Genetic association studies	Procedure	0.00263
NRAS	Therapeutic procedure	Procedure	0.00265
NRAS	Administration procedure	Procedure	0.00265
NRAS	Treatment study	Procedure	0.00265
NRAS	Detection	Procedure	0.00269
NRAS	Antibody therapy	Procedure	0.00285
NRAS	Tumor biology	Procedure	0.00295
NRAS	Carmustine/doxorubicin/fluorouracil protocol	Procedure	0.00301
NRAS	Oligonucleotide array sequence analysis	Procedure	0.00309
NRAS	Survival analysis	Procedure	0.00327
NRAS	Stratification	Procedure	0.00327
NRAS	Genetic analysis	Procedure	0.0033
NRAS	Real-time polymerase chain reaction	Procedure	0.00334
NRAS	Neoplasm transplantation	Procedure	0.00336
NRAS	Primer extension	Procedure	0.00336
NRAS	Genotyping techniques	Procedure	0.00346
NRAS	Third-line therapy	Procedure	0.00347
NRAS	Thyroidectomy	Procedure	0.00364
NRAS	Biopsy	Procedure	0.00392
NRAS	Clonality (genetic analysis)	Procedure	0.00393
NRAS	Carboplatin/paclitaxel	Procedure	0.00394
NRAS	Clinical trials	Procedure	0.004
NRAS	Causal path analysis	Procedure	0.00402
