Selection	Association Name	Association Type	Significance
Nsp10 protein, SARS virus	Cyclophosphamide/doxorubicin/prednisone protocol	Procedure	4.37E-4
Nsp10 protein, SARS virus	Cisplatin/cyclophosphamide/doxorubicin protocol	Procedure	5.22E-4
Nsp10 protein, SARS virus	Reverse genetics	Procedure	0.0012
Nsp10 protein, SARS virus	Doxorubicin/semustine/streptozocin protocol	Procedure	0.00358
Nsp10 protein, SARS virus	Protein interaction mapping	Procedure	0.00483
Nsp10 protein, SARS virus	Two-hybrid system techniques	Procedure	0.00507
Nsp10 protein, SARS virus	Mutagenesis	Procedure	0.00774
Nsp10 protein, SARS virus	Zinc measurement	Procedure	0.00823
Nsp10 protein, SARS virus	Removal technique	Procedure	0.0142
Nsp10 protein, SARS virus	Total protein measurement	Procedure	0.0173
Nsp10 protein, SARS virus	Excision	Procedure	0.0184
Nsp10 protein, SARS virus	Crystal present or absent (lab procedure)	Procedure	0.0233
Nsp10 protein, SARS virus	Statistical cluster	Procedure	0.0247
Nsp10 protein, SARS virus	Cell culture techniques	Procedure	0.0515
Nsp10 protein, SARS virus	Iontophoresis	Procedure	0.0904
Nsp10 protein, SARS virus	Isolation aspects	Procedure	0.0907
Nsp10 protein, SARS virus	Isolation procedure	Procedure	0.0912
Nsp10 protein, SARS virus	Analysis	Procedure	0.115
Nsp10 protein, SARS virus	Determination aspects	Procedure	0.194
Nsp10 protein, SARS virus	Prevention study	Procedure	0.205
Nsp10 protein, SARS virus	Efficacy study	Procedure	0.419
Nsp10 protein, SARS virus	Laser-induced fluorescence endoscopy	Procedure	0.436
Nsp10 protein, SARS virus	Albumin/globulin ratio	Procedure	0.694
Nsp10 protein, SARS virus	DICOM study	Procedure	1.0
Nsp10 protein, SARS virus	Study	Procedure	1.0
Nsp10 protein, SARS virus	Clinical trials	Procedure	1.0
Nsp10 protein, SARS virus	Clinical research	Procedure	1.0
Nsp10 protein, SARS virus	Scientific study	Procedure	1.0
