Selection	Association Name	Association Type	Significance
ORF3A protein, SARS coronavirus	Interleukin 8 measurement	Procedure	6.37E-4
ORF3A protein, SARS coronavirus	Genetic techniques	Procedure	0.00358
ORF3A protein, SARS coronavirus	Protein interaction mapping	Procedure	0.00386
ORF3A protein, SARS coronavirus	Two-hybrid system techniques	Procedure	0.00405
ORF3A protein, SARS coronavirus	Angiotensin converting enzyme measurement	Procedure	0.00955
ORF3A protein, SARS coronavirus	Transfection	Procedure	0.0128
ORF3A protein, SARS coronavirus	Bone mineral density test	Procedure	0.0172
ORF3A protein, SARS coronavirus	Monocyte count procedure	Procedure	0.0194
ORF3A protein, SARS coronavirus	Mutagenesis	Procedure	0.0252
ORF3A protein, SARS coronavirus	Cytarabine/thioguanine	Procedure	0.0261
ORF3A protein, SARS coronavirus	Cell culture techniques	Procedure	0.0404
ORF3A protein, SARS coronavirus	Electron microscopy	Procedure	0.0458
ORF3A protein, SARS coronavirus	Total protein measurement	Procedure	0.0467
ORF3A protein, SARS coronavirus	X-ray computed tomography	Procedure	0.144
ORF3A protein, SARS coronavirus	Laser-induced fluorescence endoscopy	Procedure	0.306
ORF3A protein, SARS coronavirus	Scientific study	Procedure	1.0
ORF3A protein, SARS coronavirus	Clinical research	Procedure	1.0
ORF3A protein, SARS coronavirus	Clinical trials	Procedure	1.0
ORF3A protein, SARS coronavirus	Study	Procedure	1.0
ORF3A protein, SARS coronavirus	DICOM study	Procedure	1.0
ORF3A protein, SARS coronavirus	Severe Acute Respiratory Syndrome	Disease	3.07E-5
ORF3A protein, SARS coronavirus	Coronavirus Infections	Disease	0.00137
ORF3A protein, SARS coronavirus	Aseptic Necrosis of Bone	Disease	0.00371
ORF3A protein, SARS coronavirus	Respiratory Insufficiency	Disease	0.0161
ORF3A protein, SARS coronavirus	Lung diseases	Disease	0.0301
ORF3A protein, SARS coronavirus	Infection	Disease	0.0975
ORF3A protein, SARS coronavirus	Syndrome	Disease	0.201
ORF3A protein, SARS coronavirus	Sprains and Strains	Disease	0.258
ORF3A protein, SARS coronavirus	Disease	Disease	1.0
ORF3A protein, SARS coronavirus	sars7a protein, SARS virus	Chemical	1.79E-6
ORF3A protein, SARS coronavirus	Viral Structural Proteins	Chemical	2.67E-5
ORF3A protein, SARS coronavirus	ADP-Ribosylation Factor 1	Chemical	2.19E-4
ORF3A protein, SARS coronavirus	angiotensin converting enzyme 2	Chemical	3.26E-4
ORF3A protein, SARS coronavirus	Viral Matrix Proteins	Chemical	4.63E-4
ORF3A protein, SARS coronavirus	JNK Mitogen-Activated Protein Kinases	Chemical	0.00116
