Selection	Association Name	Association Type	Significance
PRSS57	Phylogenetic analysis	Procedure	9.48E-5
PRSS57	Sequence analysis	Procedure	2.43E-4
PRSS57	Amino acid substitution	Procedure	7.56E-4
PRSS57	Total protein measurement	Procedure	7.84E-4
PRSS57	Viral plaque assay	Procedure	9.01E-4
PRSS57	Reverse transcriptase polymerase chain reaction	Procedure	9.7E-4
PRSS57	Antigen capture ELISA	Procedure	0.00111
PRSS57	Sequence alignment	Procedure	0.00132
PRSS57	Serial passage	Procedure	0.00174
PRSS57	Serotyping	Procedure	0.00198
PRSS57	Analysis	Procedure	0.00269
PRSS57	Vaccine development	Procedure	0.00285
PRSS57	Reverse genetics	Procedure	0.00317
PRSS57	Triplex polymerase chain reaction	Procedure	0.00335
PRSS57	Northern hybridization	Procedure	0.00348
PRSS57	Mutagenesis	Procedure	0.00364
PRSS57	Genome sequencing	Procedure	0.00373
PRSS57	Immunochromatography	Procedure	0.00406
PRSS57	Polyacrylamide gel electrophoresis	Procedure	0.00431
PRSS57	Genotyping techniques	Procedure	0.00433
PRSS57	Cell culture techniques	Procedure	0.00448
PRSS57	DNA mutational analysis	Procedure	0.0045
PRSS57	Neutrophil elastase measurement	Procedure	0.00572
PRSS57	Molecular analysis	Procedure	0.00587
PRSS57	Enzyme-linked immunosorbent assay	Procedure	0.00611
PRSS57	Polymerase chain reaction	Procedure	0.007
PRSS57	Multiplex polymerase chain reaction	Procedure	0.0073
PRSS57	Vaccination	Procedure	0.0078
PRSS57	Detection	Procedure	0.00781
PRSS57	Genetic complementation test	Procedure	0.00786
PRSS57	Immunoprecipitation	Procedure	0.00791
PRSS57	Vaccine design	Procedure	0.00878
PRSS57	Neutralization actcode	Procedure	0.00946
PRSS57	Baculovirus expression system	Procedure	0.00958
PRSS57	Scientific study	Procedure	0.0101
PRSS57	Study	Procedure	0.0101
PRSS57	DICOM study	Procedure	0.0101
PRSS57	Passage tissue culture technique	Procedure	0.0101
PRSS57	Two-hybrid system techniques	Procedure	0.0101
PRSS57	Immunological methods	Procedure	0.0103
PRSS57	Clinical research	Procedure	0.0104
PRSS57	Gene amplification technique	Procedure	0.011
PRSS57	VPDA protocol	Procedure	0.0112
PRSS57	Yeast one/two-hybrid system	Procedure	0.0114
PRSS57	Clinical trials	Procedure	0.012
PRSS57	Immunoglobulin A measurement	Procedure	0.0121
PRSS57	Comparative analysis	Procedure	0.0122
PRSS57	Indirect immunofluorescent antibody	Procedure	0.0127
PRSS57	Multilocus sequence typing	Procedure	0.0133
PRSS57	Neutralization tests	Procedure	0.0134
PRSS57	Electron microscope tomography	Procedure	0.0134
PRSS57	Protein interaction mapping	Procedure	0.014
PRSS57	Immunofluorescence microscopy	Procedure	0.0142
PRSS57	Serum immunoglobulin 	Procedure	0.0147
PRSS57	Enzyme-linked immunospot assay	Procedure	0.0157
PRSS57	Calcium measurement	Procedure	0.0162
PRSS57	Assay	Procedure	0.017
PRSS57	Transfection	Procedure	0.0173
PRSS57	Immunization	Procedure	0.0174
PRSS57	Macrophage-derived chemokine measurement	Procedure	0.0176
PRSS57	Cyclophosphamide/doxorubicin/prednisone protocol	Procedure	0.0177
PRSS57	Doxorubicin/etoposide/vincristine protocol	Procedure	0.018
PRSS57	Therapeutic procedure	Procedure	0.0182
PRSS57	Administration procedure	Procedure	0.0184
PRSS57	Treatment study	Procedure	0.0184
PRSS57	Biological assay	Procedure	0.0203
PRSS57	Epitope mapping	Procedure	0.0203
PRSS57	Cell culture system	Procedure	0.0208
PRSS57	Genetic analysis	Procedure	0.0213
PRSS57	Neutralising antibodies analysis	Procedure	0.0215
PRSS57	Cisplatin/cyclophosphamide/doxorubicin protocol	Procedure	0.022
PRSS57	Restriction mapping	Procedure	0.0225
PRSS57	Serologic diagnosis	Procedure	0.0242
PRSS57	Nucleic acid hybridization procedure	Procedure	0.0245
PRSS57	Promyelocyte count procedure	Procedure	0.0247
PRSS57	Clinical sensitivity	Procedure	0.025
PRSS57	Surveillance program	Procedure	0.0257
PRSS57	Chloride measurement	Procedure	0.0263
PRSS57	Cancer diagnostics	Procedure	0.028
PRSS57	Western blot	Procedure	0.0283
PRSS57	High-throughput nucleotide sequencing	Procedure	0.0308
PRSS57	Induction procedure	Procedure	0.0311
PRSS57	Latex fixation tests	Procedure	0.0319
PRSS57	Fluorescent antibody technique	Procedure	0.0327
PRSS57	Isolation aspects	Procedure	0.0346
PRSS57	Isolation procedure	Procedure	0.035
PRSS57	Dynamic simulation	Procedure	0.035
PRSS57	Deep sequencing	Procedure	0.0353
PRSS57	Immunofluorescence assay	Procedure	0.0374
PRSS57	Myeloblast count procedure	Procedure	0.0375
PRSS57	Population surveillance	Procedure	0.0383
PRSS57	Phage display	Procedure	0.0384
PRSS57	Release	Procedure	0.0399
PRSS57	Genetic screening method	Procedure	0.0402
PRSS57	Inoculation	Procedure	0.0408
PRSS57	Pyrosequencing	Procedure	0.041
PRSS57	Viral load measurement	Procedure	0.0422
PRSS57	Immunoblotting	Procedure	0.0429
PRSS57	Precipitin tests	Procedure	0.0432
PRSS57	Interferon beta measurement	Procedure	0.0448
PRSS57	Radiation hybrid mapping	Procedure	0.0466
PRSS57	Squamous transitional epithelial cell count	Procedure	0.0468
PRSS57	Artificial gene fusion	Procedure	0.047
PRSS57	Epithelial cell count	Procedure	0.0482
PRSS57	Statistical cluster	Procedure	0.0506
PRSS57	Diagnosis study	Procedure	0.056
PRSS57	The science and art of healing	Procedure	0.0577
PRSS57	Surgical and medical procedures	Procedure	0.0577
PRSS57	Nested polymerase chain reaction	Procedure	0.0582
PRSS57	Patch clamp	Procedure	0.0598
PRSS57	Iontophoresis	Procedure	0.0613
PRSS57	Genomic profile	Procedure	0.0616
PRSS57	Cisplatin/ifosfamide/mesna/mitomycin protocol	Procedure	0.0619
PRSS57	Observation method cytotoxicity	Procedure	0.0643
PRSS57	Immunoglobulin G measurement	Procedure	0.0648
PRSS57	Passive immunization procedure	Procedure	0.0653
PRSS57	Research	Procedure	0.0656
PRSS57	Laser scanning microscopy	Procedure	0.0679
PRSS57	Rapid antigen test	Procedure	0.0688
PRSS57	Derivation procedure	Procedure	0.0691
PRSS57	Serum urea	Procedure	0.0697
PRSS57	Research activities	Procedure	0.0699
PRSS57	Flame ionization	Procedure	0.0723
PRSS57	Negative staining	Procedure	0.0743
PRSS57	Nucleic acid amplification techniques	Procedure	0.0768
PRSS57	Retrospective studies	Procedure	0.0796
PRSS57	Enzyme immunoassay	Procedure	0.0813
PRSS57	FEC protocol	Procedure	0.0814
PRSS57	Thematic apperception test	Procedure	0.0879
PRSS57	Oncolytic virotherapy	Procedure	0.0881
PRSS57	Prospective studies	Procedure	0.0915
PRSS57	Virus cultivation	Procedure	0.0935
PRSS57	Gene fusion	Procedure	0.0941
PRSS57	Molecular diagnostics (lab procedure)	Procedure	0.0973
PRSS57	Chlorambucil/dactinomycin/methotrexate protocol	Procedure	0.102
PRSS57	Sds-page	Procedure	0.103
PRSS57	Intranasal administration	Procedure	0.104
PRSS57	Protein sequence determination	Procedure	0.104
PRSS57	Southern hybridization	Procedure	0.104
PRSS57	Yeast two-hybrid system techniques	Procedure	0.106
PRSS57	Volume measurement	Procedure	0.107
PRSS57	Protein digestion (research activity)	Procedure	0.108
PRSS57	Immunoglobulin measurement	Procedure	0.11
PRSS57	Interventional procedure	Procedure	0.116
PRSS57	Homology modeling	Procedure	0.117
PRSS57	Carboplatin/cisplatin/cyclophosphamide protocol	Procedure	0.118
PRSS57	Negative selection	Procedure	0.118
PRSS57	Cytology procedure	Procedure	0.119
PRSS57	Fluorescence-activated cell sorting	Procedure	0.119
PRSS57	Mass vaccination	Procedure	0.125
PRSS57	Ion-exchange chromatography procedure	Procedure	0.125
PRSS57	Serodiagnosis	Procedure	0.128
PRSS57	X-ray computed tomography	Procedure	0.134
PRSS57	Weighing patient	Procedure	0.136
PRSS57	Indirect immunofluorescence	Procedure	0.14
PRSS57	Glutathione S-transferase measurement	Procedure	0.142
PRSS57	Observation method agglutination	Procedure	0.152
PRSS57	Western blotting	Procedure	0.157
PRSS57	Cross-sectional studies	Procedure	0.16
PRSS57	Central minus	Procedure	0.162
PRSS57	Length of trial	Procedure	0.166
PRSS57	Albumin/globulin ratio	Procedure	0.167
PRSS57	Direct method	Procedure	0.167
PRSS57	Tryptic digestion	Procedure	0.175
PRSS57	Bacterial count measurement	Procedure	0.175
PRSS57	Glucose measurement	Procedure	0.176
PRSS57	Laser-induced fluorescence endoscopy	Procedure	0.187
PRSS57	Monitoring clinical trials	Procedure	0.191
PRSS57	Pre-clinical trial	Procedure	0.201
PRSS57	Safety study	Procedure	0.201
PRSS57	Protein-restricted diet	Procedure	0.202
PRSS57	Basic research	Procedure	0.205
PRSS57	Injection of therapeutic agent	Procedure	0.211
PRSS57	Confocal microscopy	Procedure	0.219
PRSS57	Sodium measurement	Procedure	0.219
PRSS57	Laboratory procedures	Procedure	0.222
PRSS57	Primer extension	Procedure	0.225
PRSS57	ACP protocol	Procedure	0.226
PRSS57	Research study	Procedure	0.232
PRSS57	Insulin measurement	Procedure	0.239
PRSS57	Plasma glucose measurement	Procedure	0.254
PRSS57	Combinatorial chemistry techniques	Procedure	0.254
PRSS57	Electron microscopy	Procedure	0.262
PRSS57	Dideoxy chain termination DNA sequencing	Procedure	0.268
PRSS57	Surface plasmon resonance	Procedure	0.27
PRSS57	Density gradient centrifugation	Procedure	0.27
PRSS57	Cryoelectron microscopy	Procedure	0.274
PRSS57	Carmustine/cyclophosphamide/dexamethasone	Procedure	0.279
PRSS57	Immunoelectron microscopy	Procedure	0.287
PRSS57	Microscopy	Procedure	0.289
PRSS57	Real-time polymerase chain reaction	Procedure	0.301
PRSS57	Case-control studies	Procedure	0.313
PRSS57	Research and development	Procedure	0.314
PRSS57	Molecular typing	Procedure	0.316
PRSS57	Interleukin 6 measurement	Procedure	0.318
PRSS57	Immunoenzyme techniques	Procedure	0.345
PRSS57	Absolute neutrophil count	Procedure	0.346
PRSS57	Crystallography	Procedure	0.354
PRSS57	Circular dichroism	Procedure	0.363
PRSS57	Verification of theories	Procedure	0.37
PRSS57	Phosphate measurement	Procedure	0.378
PRSS57	Fluorescence polarization	Procedure	0.381
PRSS57	Staining and labeling	Procedure	0.395
PRSS57	Discussion	Procedure	0.4
PRSS57	Scanning transmission electron microscopy procedures	Procedure	0.409
PRSS57	Structural clinical interview for DSM-III	Procedure	0.414
PRSS57	Molecular diagnostic techniques	Procedure	0.422
PRSS57	Affinity chromatography	Procedure	0.426
PRSS57	Logistic regression	Procedure	0.437
PRSS57	Immunocytochemistry	Procedure	0.441
PRSS57	Diagnostic procedure	Procedure	0.458
PRSS57	Prostate specific antigen measurement	Procedure	0.489
PRSS57	Pellet formation	Procedure	0.493
PRSS57	Study of tamoxifen and raloxifene (STAR)	Procedure	0.51
PRSS57	Chromosome mapping	Procedure	0.512
PRSS57	Asparaginase/prednisone/vincristine protocol	Procedure	0.515
PRSS57	Oxidative stress analysis	Procedure	0.535
PRSS57	Culture of specimen from other site	Procedure	0.537
PRSS57	Culture of specimen from unspecified site	Procedure	0.537
PRSS57	Laboratory culture	Procedure	0.537
PRSS57	Yeast cell measurement	Procedure	0.545
PRSS57	Imaging techniques	Procedure	0.56
PRSS57	Animal experiments	Procedure	0.567
PRSS57	Glutamate measurement	Procedure	0.589
PRSS57	Crystal present or absent (lab procedure)	Procedure	0.591
PRSS57	Peptide mapping	Procedure	0.621
PRSS57	Survival analysis	Procedure	0.625
PRSS57	Data collection	Procedure	0.639
PRSS57	Disorder control	Procedure	0.663
PRSS57	Renal dialysis	Procedure	0.665
PRSS57	Excision	Procedure	0.677
PRSS57	Gene delivery process	Procedure	0.686
PRSS57	Sialic acid assay	Procedure	0.686
PRSS57	Enzyme assays	Procedure	0.694
PRSS57	Molecular modeling	Procedure	0.694
PRSS57	Extraction	Procedure	0.72
PRSS57	Chemical extraction	Procedure	0.723
PRSS57	Electrophysiology studies	Procedure	0.728
PRSS57	Nursing therapy	Procedure	0.757
PRSS57	Rehabilitation therapy	Procedure	0.765
PRSS57	Meta analysis (statistical procedure)	Procedure	0.781
PRSS57	Gene expression profiling	Procedure	0.792
PRSS57	Lipids measurement	Procedure	0.8
PRSS57	Immunomodulation	Procedure	0.805
PRSS57	Pathology procedure	Procedure	0.815
PRSS57	Albumin measurement	Procedure	0.837
PRSS57	Microbial sensitivity tests	Procedure	0.839
PRSS57	Not elsewhere classified rehabilitation	Procedure	0.842
PRSS57	Patch-clamp techniques	Procedure	0.9
PRSS57	Thin layer chromatography	Procedure	0.963
PRSS57	Serum total cholesterol measurement	Procedure	0.972
PRSS57	Adsorption	Procedure	0.972
PRSS57	Homologous recombination	Procedure	0.981
PRSS57	Clinical trial period	Procedure	1.0
PRSS57	Asparaginase/ifosfamide/methotrexate	Procedure	1.0
PRSS57	Efficacy study	Procedure	1.0
PRSS57	Disease screening	Procedure	1.0
PRSS57	Screening for cancer	Procedure	1.0
PRSS57	Mass screening	Procedure	1.0
PRSS57	Prevention study	Procedure	1.0
PRSS57	Staining method	Procedure	1.0
PRSS57	Observation diagnostic procedure	Procedure	1.0
PRSS57	Determination aspects	Procedure	1.0
PRSS57	Research design	Procedure	1.0
PRSS57	Observation in research	Procedure	1.0
