Selection	Association Name	Association Type	Significance
RIT1	Stem cell factor measurement	Procedure	6.66E-5
RIT1	Growth hormone stimulation test	Procedure	2.16E-4
RIT1	Pancreatic elastase measurement	Procedure	5.89E-4
RIT1	Two-hybrid system techniques	Procedure	0.00116
RIT1	Total protein measurement	Procedure	0.00161
RIT1	Protein measurement	Procedure	0.00181
RIT1	Riboflavin assay	Procedure	0.00207
RIT1	Molecular diagnosis	Procedure	0.0022
RIT1	Bispectral index	Procedure	0.0025
RIT1	Acmg	Procedure	0.00257
RIT1	Yeast cell measurement	Procedure	0.00308
RIT1	Radioimmunosorbent test	Procedure	0.0044
RIT1	Genetic association studies	Procedure	0.00458
RIT1	Cisplatin/ifosfamide/mesna/mitomycin protocol	Procedure	0.00491
RIT1	Dideoxy chain termination DNA sequencing	Procedure	0.00729
RIT1	Sequence alignment	Procedure	0.00733
RIT1	Expression cloning	Procedure	0.00993
RIT1	Genetic complementation test	Procedure	0.0106
RIT1	SELEX aptamer technique	Procedure	0.0106
RIT1	Gene expression analysis	Procedure	0.0116
RIT1	Ligation	Procedure	0.0144
RIT1	Transfection	Procedure	0.0148
RIT1	Genetic screening method	Procedure	0.0162
RIT1	Immunoprecipitation	Procedure	0.0168
RIT1	Metabolic engineering	Procedure	0.0179
RIT1	Co-immunoprecipitation	Procedure	0.0186
RIT1	Molecular typing	Procedure	0.0189
RIT1	Lomustine/methotrexate/procarbazine protocol	Procedure	0.0193
RIT1	Comparative genomic analysis	Procedure	0.0196
RIT1	Northern hybridization	Procedure	0.0197
RIT1	Nuchal translucency measurement	Procedure	0.0198
RIT1	Somatomedin-C measurement	Procedure	0.0202
RIT1	Cloning	Procedure	0.021
RIT1	Gastric lavage	Procedure	0.0215
RIT1	Gene knock-in techniques	Procedure	0.0219
RIT1	Induction procedure	Procedure	0.0223
RIT1	Precipitin tests	Procedure	0.0229
RIT1	Targeted therapy	Procedure	0.023
RIT1	Special education	Procedure	0.0233
RIT1	DNA sequence determinations	Procedure	0.0237
RIT1	Normal delivery procedure	Procedure	0.0241
RIT1	General (procedure) toxicology screen	Procedure	0.0244
RIT1	Gene amplification technique	Procedure	0.0245
RIT1	Array-based comparative genomic hybridization	Procedure	0.0248
RIT1	Microarray analysis	Procedure	0.0249
RIT1	Gene knockdown techniques	Procedure	0.0258
RIT1	Doxorubicin/mitomycin/vinblastine protocol	Procedure	0.0259
RIT1	Phylogenetic analysis	Procedure	0.0263
RIT1	High throughput screening	Procedure	0.0266
RIT1	Knock-in	Procedure	0.0275
RIT1	Genetic analysis	Procedure	0.0278
RIT1	Gene expression profiling	Procedure	0.0283
RIT1	Cell migration assays	Procedure	0.0292
RIT1	Molecular profiling	Procedure	0.0294
RIT1	Genetic disorders screening	Procedure	0.0294
RIT1	RNA differential display	Procedure	0.0303
RIT1	Immortalization	Procedure	0.0312
RIT1	Antiangiogenesis therapy	Procedure	0.0331
RIT1	Blood thyroid stimulating hormone analysis	Procedure	0.0332
RIT1	DNA mutational analysis	Procedure	0.0347
RIT1	Radioallergosorbent test	Procedure	0.0366
RIT1	Genetic testing for cancer risk	Procedure	0.0388
RIT1	Polymerase chain reaction	Procedure	0.0391
RIT1	High-throughput nucleotide sequencing	Procedure	0.0391
RIT1	Cyclophosphamide/doxorubicin/lomustine protocol	Procedure	0.0407
RIT1	Caffeine/cisplatin/cytarabine protocol	Procedure	0.0407
RIT1	Genetic screening	Procedure	0.0417
RIT1	Sequence analysis	Procedure	0.042
RIT1	Karyotype determination procedure	Procedure	0.0422
RIT1	Induction of neuromuscular blockade	Procedure	0.0457
RIT1	Altretamine/cisplatin/cyclophosphamide protocol	Procedure	0.0467
RIT1	Transabdominal ultrasound	Procedure	0.0469
RIT1	Validation studies	Procedure	0.0469
RIT1	Wavelet analysis	Procedure	0.048
RIT1	Gel mobility shift assay	Procedure	0.0492
RIT1	Minimum lethal concentration (MLC)	Procedure	0.0492
RIT1	Bacterial typing techniques	Procedure	0.0521
RIT1	In situ hybridization	Procedure	0.0537
RIT1	Thermoregulation intervention	Procedure	0.0539
RIT1	Corneal topography	Procedure	0.0564
RIT1	Skin prick test	Procedure	0.0567
RIT1	Amsacrine/azacitidine/etoposide	Procedure	0.0583
RIT1	Mutagenesis	Procedure	0.0612
RIT1	Electrophoretic mobility shift assay	Procedure	0.0613
RIT1	Amino acid substitution	Procedure	0.0627
RIT1	Analysis	Procedure	0.0643
RIT1	Cisplatin/etoposide/methotrexate chemotherapy protocol	Procedure	0.0672
RIT1	Cisplatin/mitomycin/vindesine protocol	Procedure	0.0674
RIT1	Tissue array analysis	Procedure	0.0719
RIT1	Random amplified polymorphic DNA technique	Procedure	0.0731
RIT1	Heterozygote detection	Procedure	0.0736
RIT1	Radiation ionizing radiotherapy	Procedure	0.0756
RIT1	Radiotherapy research	Procedure	0.0756
RIT1	Nested polymerase chain reaction	Procedure	0.0762
RIT1	Therapeutic radiology procedure	Procedure	0.0776
RIT1	Bronchial provocation tests	Procedure	0.0776
RIT1	Xenograft model antitumor assays	Procedure	0.0784
RIT1	Research project	Procedure	0.0787
RIT1	Ablation	Procedure	0.0791
RIT1	Research and development	Procedure	0.0808
RIT1	Triacylglycerol lipase measurement	Procedure	0.081
RIT1	Immunofluorescence microscopy	Procedure	0.0825
RIT1	Conscious sedation	Procedure	0.0895
RIT1	Bacterial count measurement	Procedure	0.0898
RIT1	Cancer therapeutic procedure	Procedure	0.0978
RIT1	Immunoblotting	Procedure	0.103
RIT1	RNA sequence determinations	Procedure	0.103
RIT1	Data transformation	Procedure	0.105
RIT1	Heart function tests	Procedure	0.107
RIT1	Serotonin measurement	Procedure	0.111
RIT1	Protein structure initiative	Procedure	0.112
RIT1	Primary cell culture	Procedure	0.114
RIT1	Chromosome banding	Procedure	0.115
RIT1	Gene fusion	Procedure	0.119
RIT1	Immunofluorescence assay	Procedure	0.12
RIT1	Cholecalciferol	Procedure	0.121
RIT1	Genome sequencing	Procedure	0.122
RIT1	Scanning transmission electron microscopy procedures	Procedure	0.123
RIT1	Chromatin immunoprecipitation	Procedure	0.125
RIT1	Cisplatin/etoposide/ifosfamide protocol	Procedure	0.127
RIT1	Gene targeting	Procedure	0.127
RIT1	Immunoglobulin E measurement	Procedure	0.128
RIT1	Drug discovery	Procedure	0.128
RIT1	Clinical trial period	Procedure	0.128
RIT1	Coculture techniques	Procedure	0.129
RIT1	Intubation	Procedure	0.131
RIT1	Chromosome mapping	Procedure	0.133
RIT1	Fluorescent in situ hybridization	Procedure	0.135
RIT1	Protein interaction mapping	Procedure	0.135
RIT1	Enzyme assays	Procedure	0.142
RIT1	Molecular cloning	Procedure	0.162
RIT1	Oxidative stress analysis	Procedure	0.164
RIT1	Fluorescent antibody technique	Procedure	0.164
