Selection	Association Name	Association Type	Significance
SH2D3C	Reverse genetics	Procedure	3.5E-4
SH2D3C	Yeast two hybrid interaction screening	Procedure	5.38E-4
SH2D3C	Total protein measurement	Procedure	6.5E-4
SH2D3C	Phylogenetic analysis	Procedure	6.94E-4
SH2D3C	Amino acid substitution	Procedure	0.00101
SH2D3C	Serial passage	Procedure	0.00101
SH2D3C	Sequence analysis	Procedure	0.0011
SH2D3C	Sequence alignment	Procedure	0.00183
SH2D3C	Viral plaque assay	Procedure	0.00183
SH2D3C	Protein interaction mapping	Procedure	0.00203
SH2D3C	Sequence insertion	Procedure	0.00216
SH2D3C	Genotyping techniques	Procedure	0.00238
SH2D3C	Genome sequencing	Procedure	0.0028
SH2D3C	Reverse transcriptase polymerase chain reaction	Procedure	0.0032
SH2D3C	Immunoprecipitation	Procedure	0.00346
SH2D3C	Electron microscope tomography	Procedure	0.00443
SH2D3C	Genotype determination	Procedure	0.0046
SH2D3C	Mutagenesis	Procedure	0.00541
SH2D3C	Two-hybrid system techniques	Procedure	0.00542
SH2D3C	Co-immunoprecipitation	Procedure	0.00646
SH2D3C	DNA mutational analysis	Procedure	0.00663
SH2D3C	Analysis	Procedure	0.00706
SH2D3C	Cisplatin/cyclophosphamide/doxorubicin protocol	Procedure	0.00729
SH2D3C	Passage tissue culture technique	Procedure	0.00735
SH2D3C	Cyclophosphamide/doxorubicin/prednisone protocol	Procedure	0.00747
SH2D3C	Genetic complementation test	Procedure	0.00772
SH2D3C	Yeast two-hybrid system techniques	Procedure	0.00782
SH2D3C	Artificial gene fusion	Procedure	0.00848
SH2D3C	VPDA protocol	Procedure	0.0085
SH2D3C	Yeast one/two-hybrid system	Procedure	0.00865
SH2D3C	Immunofluorescence assay	Procedure	0.00914
SH2D3C	Cell culture techniques	Procedure	0.00936
SH2D3C	Vaccine development	Procedure	0.0114
SH2D3C	High-throughput nucleotide sequencing	Procedure	0.0116
SH2D3C	Restriction mapping	Procedure	0.012
SH2D3C	Cellular imaging	Procedure	0.0122
SH2D3C	Real-time polymerase chain reaction	Procedure	0.0135
SH2D3C	Doxorubicin/etoposide/vincristine protocol	Procedure	0.0136
SH2D3C	FEC protocol	Procedure	0.0142
SH2D3C	Genetic screening method	Procedure	0.0146
SH2D3C	Genetic analysis	Procedure	0.0154
SH2D3C	Cell culture system	Procedure	0.0156
SH2D3C	Assay	Procedure	0.0165
SH2D3C	Dideoxy chain termination DNA sequencing	Procedure	0.0168
SH2D3C	Immunoelectron microscopy	Procedure	0.0177
SH2D3C	Fluorescent antibody technique	Procedure	0.018
