Selection	Association Name	Association Type	Significance
Spike Glycoprotein, Coronavirus	Neutralization tests	Procedure	5.54E-5
Spike Glycoprotein, Coronavirus	Neutralising antibodies analysis	Procedure	6.01E-5
Spike Glycoprotein, Coronavirus	Neutralization actcode	Procedure	1.03E-4
Spike Glycoprotein, Coronavirus	Total protein measurement	Procedure	1.39E-4
Spike Glycoprotein, Coronavirus	Epitope mapping	Procedure	2.03E-4
Spike Glycoprotein, Coronavirus	CCV protocol	Procedure	2.41E-4
Spike Glycoprotein, Coronavirus	Immunization	Procedure	3.48E-4
Spike Glycoprotein, Coronavirus	Phylogenetic analysis	Procedure	3.48E-4
Spike Glycoprotein, Coronavirus	Amino acid substitution	Procedure	3.78E-4
Spike Glycoprotein, Coronavirus	Vaccination	Procedure	3.91E-4
Spike Glycoprotein, Coronavirus	Vaccine development	Procedure	4.05E-4
Spike Glycoprotein, Coronavirus	Vaccine design	Procedure	4.12E-4
Spike Glycoprotein, Coronavirus	Reverse genetics	Procedure	4.23E-4
Spike Glycoprotein, Coronavirus	Indirect fluorescence antibody test	Procedure	5.15E-4
Spike Glycoprotein, Coronavirus	Sequence analysis	Procedure	5.81E-4
Spike Glycoprotein, Coronavirus	Cell fusion procedure	Procedure	6.92E-4
Spike Glycoprotein, Coronavirus	Enzyme-linked immunosorbent assay	Procedure	7.14E-4
Spike Glycoprotein, Coronavirus	Sequence alignment	Procedure	7.91E-4
Spike Glycoprotein, Coronavirus	Serial passage	Procedure	9.84E-4
Spike Glycoprotein, Coronavirus	Reverse transcriptase polymerase chain reaction	Procedure	0.00122
Spike Glycoprotein, Coronavirus	Sialic acid assay	Procedure	0.00136
Spike Glycoprotein, Coronavirus	Enzyme-linked immunospot assay	Procedure	0.00156
Spike Glycoprotein, Coronavirus	Phage display	Procedure	0.00161
Spike Glycoprotein, Coronavirus	Western blot	Procedure	0.00165
Spike Glycoprotein, Coronavirus	Cryoelectron microscopy	Procedure	0.00166
Spike Glycoprotein, Coronavirus	Immunofluorescence assay	Procedure	0.00206
Spike Glycoprotein, Coronavirus	Viral plaque assay	Procedure	0.00212
Spike Glycoprotein, Coronavirus	Assay	Procedure	0.00223
Spike Glycoprotein, Coronavirus	Biological assay	Procedure	0.00244
Spike Glycoprotein, Coronavirus	Cell culture techniques	Procedure	0.00266
Spike Glycoprotein, Coronavirus	Fluorescent antibody technique	Procedure	0.00267
Spike Glycoprotein, Coronavirus	Mutagenesis	Procedure	0.00273
Spike Glycoprotein, Coronavirus	Doxorubicin/mitomycin/vinblastine protocol	Procedure	0.00293
Spike Glycoprotein, Coronavirus	Indirect fluorescent antibody technique	Procedure	0.00302
Spike Glycoprotein, Coronavirus	Positive selection	Procedure	0.00308
Spike Glycoprotein, Coronavirus	DAV regimen	Procedure	0.00338
