Selection	Association Name	Association Type	Significance
Structural Protein	Total protein measurement	Procedure	1.77E-5
Structural Protein	Immunoelectron microscopy	Procedure	4.08E-4
Structural Protein	Neutralization tests	Procedure	5.87E-4
Structural Protein	Fluorescent antibody technique	Procedure	6.23E-4
Structural Protein	Immunofluorescence assay	Procedure	6.43E-4
Structural Protein	Sequence alignment	Procedure	6.47E-4
Structural Protein	Sds-page	Procedure	7.15E-4
Structural Protein	Baculovirus expression system	Procedure	7.3E-4
Structural Protein	Western blot	Procedure	7.94E-4
Structural Protein	Sequence analysis	Procedure	8.59E-4
Structural Protein	Neutralization actcode	Procedure	8.72E-4
Structural Protein	Enzyme-linked immunosorbent assay	Procedure	8.98E-4
Structural Protein	COMVP protocol	Procedure	9.68E-4
Structural Protein	Radioimmunoprecipitation assay	Procedure	9.88E-4
Structural Protein	Immunoprecipitation	Procedure	0.00101
Structural Protein	Transfection	Procedure	0.00102
Structural Protein	Reverse genetics	Procedure	0.00106
Structural Protein	Asparaginase/prednisone/vincristine protocol	Procedure	0.00112
Structural Protein	Immunoblotting	Procedure	0.00118
Structural Protein	Epitope mapping	Procedure	0.00119
Structural Protein	Hepatitis C virus recombinant immonoblot assay	Procedure	0.00119
Structural Protein	Viral plaque assay	Procedure	0.00123
Structural Protein	Neutralising antibodies analysis	Procedure	0.00144
Structural Protein	Electron microscopy	Procedure	0.0015
Structural Protein	Electrophoresis	Procedure	0.00152
Structural Protein	Phylogenetic analysis	Procedure	0.00156
Structural Protein	Vaccination	Procedure	0.00158
Structural Protein	Indirect fluorescence antibody test	Procedure	0.00159
Structural Protein	Microscopy	Procedure	0.0016
Structural Protein	Mutagenesis	Procedure	0.00161
Structural Protein	Vaccine development	Procedure	0.00165
Structural Protein	Cryoelectron microscopy	Procedure	0.00165
Structural Protein	Co-immunoprecipitation	Procedure	0.00169
Structural Protein	Western blotting	Procedure	0.00171
Structural Protein	Immunization	Procedure	0.00172
Structural Protein	Amino acid substitution	Procedure	0.00172
Structural Protein	Restriction mapping	Procedure	0.00181
Structural Protein	Dot immunoblotting	Procedure	0.00182
Structural Protein	Assay	Procedure	0.00183
Structural Protein	Two-hybrid system techniques	Procedure	0.00186
Structural Protein	Primer extension	Procedure	0.00194
Structural Protein	Biological assay	Procedure	0.002
Structural Protein	Polymerase chain reaction	Procedure	0.002
Structural Protein	Apolipoprotein B assay	Procedure	0.00201
Structural Protein	Reverse transcriptase polymerase chain reaction	Procedure	0.00202
Structural Protein	Precipitin tests	Procedure	0.00212
Structural Protein	Protein analysis	Procedure	0.00216
Structural Protein	Protein sequence determination	Procedure	0.00224
Structural Protein	Yeast two-hybrid system techniques	Procedure	0.00228
Structural Protein	Analysis	Procedure	0.00239
Structural Protein	Cell culture techniques	Procedure	0.00243
Structural Protein	Gel electrophoresis (lab technique)	Procedure	0.00252
Structural Protein	Cell fractionation	Procedure	0.00263
Structural Protein	Sedimentation procedure	Procedure	0.00265
Structural Protein	Serial passage	Procedure	0.00277
Structural Protein	Cloning	Procedure	0.00281
Structural Protein	Serum neutralization	Procedure	0.00286
Structural Protein	Genetic complementation test	Procedure	0.00288
Structural Protein	Peptide mapping	Procedure	0.00313
Structural Protein	Protein digestion (research activity)	Procedure	0.00334
Structural Protein	Indirect immunofluorescence	Procedure	0.00343
Structural Protein	Electrophoresis, gel, two-dimensional	Procedure	0.00344
Structural Protein	Deletion mutagenesis	Procedure	0.00348
Structural Protein	Antigen capture ELISA	Procedure	0.00348
Structural Protein	Ultracentrifugation	Procedure	0.00358
Structural Protein	DNA expression	Procedure	0.00378
Structural Protein	Polyacrylamide gel electrophoresis	Procedure	0.00389
Structural Protein	Linker mutagenesis	Procedure	0.00389
Structural Protein	Virus cultivation	Procedure	0.00396
Structural Protein	Immunohistochemistry	Procedure	0.00402
Structural Protein	Protein interaction mapping	Procedure	0.0041
Structural Protein	Immunofluorescence microscopy	Procedure	0.00411
Structural Protein	Circular dichroism	Procedure	0.00413
Structural Protein	Cisplatin/doxorubicin/vincristine protocol	Procedure	0.00421
Structural Protein	Affinity chromatography	Procedure	0.00424
Structural Protein	Cyclophosphamide/doxorubicin/prednisone protocol	Procedure	0.00445
Structural Protein	Density gradient centrifugation	Procedure	0.00449
Structural Protein	Cisplatin/cyclophosphamide/doxorubicin protocol	Procedure	0.0047
Structural Protein	Serotyping	Procedure	0.005
Structural Protein	Induction procedure	Procedure	0.00517
Structural Protein	Glutathione S-transferase measurement	Procedure	0.00519
