Selection	Association Name	Association Type	Significance
Membrane Protein	Total protein measurement	Procedure	1.33E-6
Membrane Protein	Transfection	Procedure	2.04E-5
Membrane Protein	Immunoblotting	Procedure	2.25E-5
Membrane Protein	Immunoprecipitation	Procedure	2.38E-5
Membrane Protein	Yeast cell measurement	Procedure	2.74E-5
Membrane Protein	Cisplatin/doxorubicin/melphalan/teniposide regimen	Procedure	2.75E-5
Membrane Protein	VAMP regimen (vincristine, doxorubicin, methotrexate and prednisone)	Procedure	2.75E-5
Membrane Protein	Fluorescent antibody technique	Procedure	2.94E-5
Membrane Protein	Squamous transitional epithelial cell count	Procedure	3.44E-5
Membrane Protein	Epithelial cell count	Procedure	3.51E-5
Membrane Protein	Immunohistochemistry	Procedure	3.58E-5
Membrane Protein	Sds-page	Procedure	3.62E-5
Membrane Protein	Immunofluorescence assay	Procedure	3.92E-5
Membrane Protein	Sequence alignment	Procedure	3.95E-5
Membrane Protein	Cell fractionation	Procedure	4.16E-5
Membrane Protein	Reverse transcriptase polymerase chain reaction	Procedure	4.21E-5
Membrane Protein	Mutagenesis	Procedure	4.85E-5
Membrane Protein	Lipids measurement	Procedure	5.36E-5
Membrane Protein	Two-hybrid system techniques	Procedure	5.36E-5
Membrane Protein	Biotinylation	Procedure	5.39E-5
Membrane Protein	Western blot	Procedure	5.43E-5
Membrane Protein	Cloning	Procedure	6.18E-5
Membrane Protein	Precipitin tests	Procedure	6.23E-5
Membrane Protein	Electrophoresis	Procedure	6.27E-5
Membrane Protein	Red blood cell count measurement	Procedure	6.92E-5
Membrane Protein	Induction procedure	Procedure	7.15E-5
Membrane Protein	Electrophoresis, gel, two-dimensional	Procedure	7.15E-5
Membrane Protein	Western blotting	Procedure	7.21E-5
Membrane Protein	Immunoelectron microscopy	Procedure	7.44E-5
Membrane Protein	Subcellular fractionation	Procedure	7.64E-5
Membrane Protein	Immunofluorescence microscopy	Procedure	7.78E-5
Membrane Protein	Bacterial count measurement	Procedure	7.79E-5
Membrane Protein	Genetic complementation test	Procedure	7.89E-5
Membrane Protein	DNA mutational analysis	Procedure	7.91E-5
Membrane Protein	Co-immunoprecipitation	Procedure	8.34E-5
Membrane Protein	Polymerase chain reaction	Procedure	9.44E-5
Membrane Protein	Amino acid substitution	Procedure	9.49E-5
Membrane Protein	Flow cytometry	Procedure	9.83E-5
Membrane Protein	Transferrin measurement	Procedure	9.97E-5
Membrane Protein	Rapid antigen test	Procedure	1.01E-4
Membrane Protein	Affinity chromatography	Procedure	1.01E-4
Membrane Protein	Staining method	Procedure	1.02E-4
Membrane Protein	Gel electrophoresis (lab technique)	Procedure	1.03E-4
Membrane Protein	In situ hybridization	Procedure	1.05E-4
Membrane Protein	Staining and labeling	Procedure	1.09E-4
Membrane Protein	Assay	Procedure	1.23E-4
Membrane Protein	Synaptophysin and hematoxylin staining method	Procedure	1.23E-4
Membrane Protein	Protein interaction mapping	Procedure	1.3E-4
Membrane Protein	Gene knockdown techniques	Procedure	1.34E-4
Membrane Protein	Electron crystallography	Procedure	1.35E-4
Membrane Protein	Biological assay	Procedure	1.4E-4
Membrane Protein	Release	Procedure	1.43E-4
Membrane Protein	Iontophoresis	Procedure	1.45E-4
Membrane Protein	Analysis	Procedure	1.47E-4
Membrane Protein	Microscopy	Procedure	1.47E-4
Membrane Protein	Iron measurement	Procedure	1.5E-4
Membrane Protein	Sequence analysis	Procedure	1.57E-4
Membrane Protein	Freeze fracturing	Procedure	1.57E-4
Membrane Protein	Radiotherapy fractionation	Procedure	1.59E-4
Membrane Protein	Epidermal growth factor measurement	Procedure	1.65E-4
Membrane Protein	Chemical fractionation	Procedure	1.7E-4
Membrane Protein	Polyacrylamide gel electrophoresis	Procedure	1.71E-4
Membrane Protein	Restriction mapping	Procedure	1.81E-4
Membrane Protein	Gene expression profiling	Procedure	1.83E-4
Membrane Protein	Northern blotting	Procedure	1.9E-4
Membrane Protein	Confocal microscopy	Procedure	1.91E-4
Membrane Protein	Dose fractionation	Procedure	1.96E-4
Membrane Protein	Enzyme-linked immunosorbent assay	Procedure	2.1E-4
Membrane Protein	Chromosome mapping	Procedure	2.1E-4
Membrane Protein	Yeast two-hybrid system techniques	Procedure	2.15E-4
Membrane Protein	Lymphocyte count measurement	Procedure	2.19E-4
Membrane Protein	Peptide mapping	Procedure	2.24E-4
Membrane Protein	Molecular cloning	Procedure	2.32E-4
Membrane Protein	Cryoelectron microscopy	Procedure	2.32E-4
Membrane Protein	Nucleic acid hybridization procedure	Procedure	2.4E-4
Membrane Protein	Electron microscopy	Procedure	2.47E-4
Membrane Protein	Clinical trial period	Procedure	2.51E-4
Membrane Protein	Retrospective studies	Procedure	2.52E-4
Membrane Protein	Indirect immunofluorescence	Procedure	2.56E-4
Membrane Protein	Protein digestion (research activity)	Procedure	2.6E-4
Membrane Protein	Calcium measurement	Procedure	2.62E-4
Membrane Protein	Incubation laboratory procedure	Procedure	2.69E-4
Membrane Protein	General (procedure) toxicology screen	Procedure	2.71E-4
Membrane Protein	Expression cloning	Procedure	2.73E-4
Membrane Protein	Immunocytochemistry	Procedure	2.74E-4
Membrane Protein	Research	Procedure	2.78E-4
Membrane Protein	Mass spectrometry	Procedure	2.78E-4
Membrane Protein	Serum total cholesterol measurement	Procedure	2.82E-4
Membrane Protein	Tumor necrosis factor measurement	Procedure	2.84E-4
Membrane Protein	Centrifugation	Procedure	2.85E-4
Membrane Protein	Fluorescence resonance energy transfer	Procedure	2.91E-4
Membrane Protein	Diagnosis study	Procedure	2.93E-4
Membrane Protein	Real-time polymerase chain reaction	Procedure	2.96E-4
Membrane Protein	Patch-clamp techniques	Procedure	2.97E-4
Membrane Protein	Crystallography	Procedure	3.02E-4
Membrane Protein	Oligonucleotide array sequence analysis	Procedure	3.08E-4
