Selection	Association Name	Association Type	Significance
nsp9 protein, SARS virus	Analytical ultracentrifugation	Procedure	7.83E-4
nsp9 protein, SARS virus	Reverse genetics	Procedure	9.56E-4
nsp9 protein, SARS virus	Electrophoretic mobility shift assay	Procedure	0.00178
nsp9 protein, SARS virus	Fluorescence polarization	Procedure	0.00284
nsp9 protein, SARS virus	Amino acid substitution	Procedure	0.00377
nsp9 protein, SARS virus	Crystal present or absent (lab procedure)	Procedure	0.00454
nsp9 protein, SARS virus	Surface plasmon resonance	Procedure	0.00704
nsp9 protein, SARS virus	Ultracentrifugation	Procedure	0.00745
nsp9 protein, SARS virus	Photon correlation spectroscopy	Procedure	0.0079
nsp9 protein, SARS virus	Total protein measurement	Procedure	0.0132
nsp9 protein, SARS virus	Circular dichroism	Procedure	0.0152
nsp9 protein, SARS virus	Gel electrophoresis (lab technique)	Procedure	0.0158
nsp9 protein, SARS virus	The science and art of healing	Procedure	0.0213
nsp9 protein, SARS virus	Cloning	Procedure	0.0227
nsp9 protein, SARS virus	Sequence alignment	Procedure	0.0288
nsp9 protein, SARS virus	Electrophoresis	Procedure	0.0386
nsp9 protein, SARS virus	Oxidative stress analysis	Procedure	0.0484
nsp9 protein, SARS virus	Magnetic resonance spectroscopy	Procedure	0.0859
nsp9 protein, SARS virus	Length of trial	Procedure	0.179
nsp9 protein, SARS virus	Asparaginase/ifosfamide/methotrexate	Procedure	0.622
nsp9 protein, SARS virus	Clinical research	Procedure	1.0
nsp9 protein, SARS virus	Clinical trials	Procedure	1.0
nsp9 protein, SARS virus	Scientific study	Procedure	1.0
nsp9 protein, SARS virus	Study	Procedure	1.0
nsp9 protein, SARS virus	DICOM study	Procedure	1.0
nsp9 protein, SARS virus	Analysis	Procedure	1.0
nsp9 protein, SARS virus	single-stranded RNA binding	Molecular function	1.62E-5
nsp9 protein, SARS virus	nucleic acid binding	Molecular function	3.7E-4
nsp9 protein, SARS virus	RNA binding	Molecular function	0.00203
nsp9 protein, SARS virus	protein binding	Molecular function	0.0094
nsp9 protein, SARS virus	Severe Acute Respiratory Syndrome	Disease	4.01E-5
nsp9 protein, SARS virus	Virus Diseases	Disease	0.0447
nsp9 protein, SARS virus	nonstructural protein, coronavirus	Chemical	2.19E-6
nsp9 protein, SARS virus	sars7a protein, SARS virus	Chemical	7.15E-6
nsp9 protein, SARS virus	RNA Binding Protein	Chemical	1.45E-4
nsp9 protein, SARS virus	Viral Proteins	Chemical	2.94E-4
nsp9 protein, SARS virus	Viral Nonstructural Proteins	Chemical	3.33E-4
nsp9 protein, SARS virus	Polyproteins	Chemical	3.84E-4
