Selection	Association Name	Association Type	Significance
protein 6, SARS virus	Equilibrium centrifugation	Procedure	1.39E-4
protein 6, SARS virus	Protein interaction mapping	Procedure	0.00434
protein 6, SARS virus	Two-hybrid system techniques	Procedure	0.00456
protein 6, SARS virus	Total protein measurement	Procedure	0.00881
protein 6, SARS virus	Centrifugation	Procedure	0.0128
protein 6, SARS virus	Confocal microscopy	Procedure	0.0134
protein 6, SARS virus	DNA chemical synthesis	Procedure	0.0136
protein 6, SARS virus	Mutagenesis	Procedure	0.0285
protein 6, SARS virus	Cell culture techniques	Procedure	0.0459
protein 6, SARS virus	Yeast cell measurement	Procedure	0.0533
protein 6, SARS virus	Case-control studies	Procedure	0.11
protein 6, SARS virus	Screening for cancer	Procedure	0.134
protein 6, SARS virus	Disease screening	Procedure	0.134
protein 6, SARS virus	Mass screening	Procedure	0.16
protein 6, SARS virus	Immunohistochemistry	Procedure	0.161
protein 6, SARS virus	Culture of specimen from other site	Procedure	0.18
protein 6, SARS virus	Culture of specimen from unspecified site	Procedure	0.18
protein 6, SARS virus	Laboratory culture	Procedure	0.18
protein 6, SARS virus	Induction procedure	Procedure	0.188
protein 6, SARS virus	Assay	Procedure	0.246
protein 6, SARS virus	Biological assay	Procedure	0.279
protein 6, SARS virus	Study	Procedure	1.0
protein 6, SARS virus	Clinical trials	Procedure	1.0
protein 6, SARS virus	Clinical research	Procedure	1.0
protein 6, SARS virus	DICOM study	Procedure	1.0
protein 6, SARS virus	Scientific study	Procedure	1.0
protein 6, SARS virus	Analysis	Procedure	1.0
protein 6, SARS virus	protein binding	Molecular function	0.109
protein 6, SARS virus	Severe Acute Respiratory Syndrome	Disease	2.73E-5
protein 6, SARS virus	Coronavirus Infections	Disease	3.85E-4
protein 6, SARS virus	Hepatitis	Disease	0.00651
protein 6, SARS virus	Respiration Disorders	Disease	0.0119
protein 6, SARS virus	Infection	Disease	0.0237
protein 6, SARS virus	Chromosomal translocation	Disease	0.0398
protein 6, SARS virus	Pneumonia	Disease	0.0421
protein 6, SARS virus	Virus Diseases	Disease	0.0509
protein 6, SARS virus	Disease	Disease	0.637
protein 6, SARS virus	benzyloxycarbonyl-aspartyl(OMe)-isoleucyl-prolyl-aspartyl(OMe) fluoromethylketone	Chemical	1.19E-6
protein 6, SARS virus	sars7a protein, SARS virus	Chemical	8.05E-6
protein 6, SARS virus	Endoplasmin	Chemical	1.34E-4
